setting,dataset,dataset_key,val_auc
Full DyRIFT-GNN,XinYe DGraph,xinye_dgraph,0.7928507856954765
Full DyRIFT-GNN,Elliptic Transactions,elliptic_transactions,0.821329087693758
Full DyRIFT-GNN,Elliptic++ Transactions,ellipticpp_transactions,0.821953270227715
w/o Target-Context Bridge,XinYe DGraph,xinye_dgraph,0.7902837046205231
w/o Target-Context Bridge,Elliptic Transactions,elliptic_transactions,0.8006292721310627
w/o Target-Context Bridge,Elliptic++ Transactions,ellipticpp_transactions,0.7834731895374041
w/o Drift Expert,XinYe DGraph,xinye_dgraph,0.7905781797207002
w/o Drift Expert,Elliptic Transactions,elliptic_transactions,0.7850317776670096
w/o Drift Expert,Elliptic++ Transactions,ellipticpp_transactions,0.8037716944076637
w/o Prototype Memory,XinYe DGraph,xinye_dgraph,0.791455659475683
w/o Prototype Memory,Elliptic Transactions,elliptic_transactions,0.8216856624433783
w/o Prototype Memory,Elliptic++ Transactions,ellipticpp_transactions,0.8197823147002915
w/o Pseudo-Contrastive Temporal Mining,XinYe DGraph,xinye_dgraph,0.7899986038411259
w/o Pseudo-Contrastive Temporal Mining,Elliptic Transactions,elliptic_transactions,0.821820072239964
w/o Pseudo-Contrastive Temporal Mining,Elliptic++ Transactions,ellipticpp_transactions,0.789550309859519
