group,setting,dataset,dataset_key,best_epoch,trained_epochs,epoch_metrics_path,train_log_path,curve_path,summary_path
mainline,Full DyRIFT-GNN,XinYe DGraph,xinye_dgraph,7.0,8,experiment/outputs/training/models/dyrift_gnn/full_xinye_repro_v1/seed_42/epoch_metrics.csv,experiment/outputs/training/models/dyrift_gnn/full_xinye_repro_v1/seed_42/train.log,experiment/outputs/training/models/dyrift_gnn/full_xinye_repro_v1/seed_42/training_curves.png,experiment/outputs/training/models/dyrift_gnn/full_xinye_repro_v1/summary.json
mainline,Full DyRIFT-GNN,Elliptic Transactions,elliptic_transactions,4.0,6,experiment/outputs/elliptic_transactions/training/models/dyrift_gnn/probe_et_dyrift_pure_compact_ctx3_h4_delaypc_timew_hl20_f035_v1/seed_42/epoch_metrics.csv,experiment/outputs/elliptic_transactions/training/models/dyrift_gnn/probe_et_dyrift_pure_compact_ctx3_h4_delaypc_timew_hl20_f035_v1/seed_42/train.log,experiment/outputs/elliptic_transactions/training/models/dyrift_gnn/probe_et_dyrift_pure_compact_ctx3_h4_delaypc_timew_hl20_f035_v1/seed_42/training_curves.png,experiment/outputs/elliptic_transactions/training/models/dyrift_gnn/probe_et_dyrift_pure_compact_ctx3_h4_delaypc_timew_hl20_f035_v1/summary.json
mainline,Full DyRIFT-GNN,Elliptic++ Transactions,ellipticpp_transactions,7.0,10,experiment/outputs/ellipticpp_transactions/training/models/dyrift_gnn/probe_epp_dyrift_pure_ap96_mixed120_timew_hl20_f035_coldctx_v1/seed_42/epoch_metrics.csv,experiment/outputs/ellipticpp_transactions/training/models/dyrift_gnn/probe_epp_dyrift_pure_ap96_mixed120_timew_hl20_f035_coldctx_v1/seed_42/train.log,experiment/outputs/ellipticpp_transactions/training/models/dyrift_gnn/probe_epp_dyrift_pure_ap96_mixed120_timew_hl20_f035_coldctx_v1/seed_42/training_curves.png,experiment/outputs/ellipticpp_transactions/training/models/dyrift_gnn/probe_epp_dyrift_pure_ap96_mixed120_timew_hl20_f035_coldctx_v1/summary.json
comparisons,Plain TRGT Backbone,XinYe DGraph,xinye_dgraph,4,14,experiment/outputs/studies/comparisons/plain_trgt_backbone/xinye_dgraph/seed_42/epoch_metrics.csv,experiment/outputs/studies/comparisons/plain_trgt_backbone/xinye_dgraph/seed_42/train.log,experiment/outputs/studies/comparisons/plain_trgt_backbone/xinye_dgraph/seed_42/training_curves.png,experiment/outputs/studies/comparisons/plain_trgt_backbone/xinye_dgraph/summary.json
comparisons,Plain TRGT Backbone,Elliptic Transactions,elliptic_transactions,1,11,experiment/outputs/studies/comparisons/plain_trgt_backbone/elliptic_transactions/seed_42/epoch_metrics.csv,experiment/outputs/studies/comparisons/plain_trgt_backbone/elliptic_transactions/seed_42/train.log,experiment/outputs/studies/comparisons/plain_trgt_backbone/elliptic_transactions/seed_42/training_curves.png,experiment/outputs/studies/comparisons/plain_trgt_backbone/elliptic_transactions/summary.json
comparisons,Plain TRGT Backbone,Elliptic++ Transactions,ellipticpp_transactions,17,27,experiment/outputs/studies/comparisons/plain_trgt_backbone/ellipticpp_transactions/seed_42/epoch_metrics.csv,experiment/outputs/studies/comparisons/plain_trgt_backbone/ellipticpp_transactions/seed_42/train.log,experiment/outputs/studies/comparisons/plain_trgt_backbone/ellipticpp_transactions/seed_42/training_curves.png,experiment/outputs/studies/comparisons/plain_trgt_backbone/ellipticpp_transactions/summary.json
comparisons,TGAT-style Reference,XinYe DGraph,xinye_dgraph,4,10,experiment/outputs/studies/comparisons/tgat_style_reference/xinye_dgraph/seed_42/epoch_metrics.csv,experiment/outputs/studies/comparisons/tgat_style_reference/xinye_dgraph/seed_42/train.log,experiment/outputs/studies/comparisons/tgat_style_reference/xinye_dgraph/seed_42/training_curves.png,experiment/outputs/studies/comparisons/tgat_style_reference/xinye_dgraph/summary.json
comparisons,TGAT-style Reference,Elliptic Transactions,elliptic_transactions,1,7,experiment/outputs/studies/comparisons/tgat_style_reference/elliptic_transactions/seed_42/epoch_metrics.csv,experiment/outputs/studies/comparisons/tgat_style_reference/elliptic_transactions/seed_42/train.log,experiment/outputs/studies/comparisons/tgat_style_reference/elliptic_transactions/seed_42/training_curves.png,experiment/outputs/studies/comparisons/tgat_style_reference/elliptic_transactions/summary.json
comparisons,TGAT-style Reference,Elliptic++ Transactions,ellipticpp_transactions,8,14,experiment/outputs/studies/comparisons/tgat_style_reference/ellipticpp_transactions/seed_42/epoch_metrics.csv,experiment/outputs/studies/comparisons/tgat_style_reference/ellipticpp_transactions/seed_42/train.log,experiment/outputs/studies/comparisons/tgat_style_reference/ellipticpp_transactions/seed_42/training_curves.png,experiment/outputs/studies/comparisons/tgat_style_reference/ellipticpp_transactions/summary.json
comparisons,Temporal GraphSAGE Reference,XinYe DGraph,xinye_dgraph,3,9,experiment/outputs/studies/comparisons/temporal_graphsage_reference/xinye_dgraph/seed_42/epoch_metrics.csv,experiment/outputs/studies/comparisons/temporal_graphsage_reference/xinye_dgraph/seed_42/train.log,experiment/outputs/studies/comparisons/temporal_graphsage_reference/xinye_dgraph/seed_42/training_curves.png,experiment/outputs/studies/comparisons/temporal_graphsage_reference/xinye_dgraph/summary.json
comparisons,Temporal GraphSAGE Reference,Elliptic Transactions,elliptic_transactions,8,14,experiment/outputs/studies/comparisons/temporal_graphsage_reference/elliptic_transactions/seed_42/epoch_metrics.csv,experiment/outputs/studies/comparisons/temporal_graphsage_reference/elliptic_transactions/seed_42/train.log,experiment/outputs/studies/comparisons/temporal_graphsage_reference/elliptic_transactions/seed_42/training_curves.png,experiment/outputs/studies/comparisons/temporal_graphsage_reference/elliptic_transactions/summary.json
