epoch,train_loss,val_loss,train_auc,val_auc,best_epoch
1,0.669537,,,0.771681,1
2,0.498130,,,0.775543,2
3,0.574700,,,0.779974,3
4,0.214133,,,0.780792,4
5,0.169002,,,0.781964,5
6,0.149276,,,0.837046,6
7,0.138749,,,0.782176,6
8,0.122880,,,0.748206,6
9,0.119872,,,0.782704,6
10,0.088128,,,0.749060,6
11,0.076407,,,0.783087,6
12,0.039886,,,0.781718,6
13,0.055732,,,0.653968,6
14,0.032655,,,0.750854,6
15,0.034548,,,0.668776,6
16,0.023446,,,0.691428,6
17,0.029056,,,0.657603,6
18,0.022653,,,0.727907,6
19,0.031075,,,0.651698,6
20,0.014656,,,0.767877,6
21,0.026519,,,0.639336,6
22,0.011756,,,0.744438,6
23,0.024362,,,0.646538,6
24,0.010844,,,0.711981,6
25,0.019735,,,0.649956,6
26,0.012255,,,0.711881,6
27,0.020152,,,0.650664,6
28,0.009726,,,0.686350,6
29,0.017767,,,0.646458,6
30,0.011649,,,0.680426,6
