epoch,train_loss,train_base_loss,train_ranking_loss,train_prototype_loss,train_normal_align_loss,train_normal_bucket_adv_loss,train_aux_loss,train_context_regularization_loss,train_adapter_regularization_loss,train_pseudo_contrastive_loss,train_embedding_diffusion_loss,train_embedding_diffusion_score_loss,train_embedding_diffusion_view_loss,prototype_loss_weight_effective,prototype_trust_score,context_residual_budget_weight_effective,context_residual_budget_release_progress,context_residual_budget_prototype_readiness,context_residual_budget_guard_strength,val_auc,val_pr_auc,val_ap,train_targets,train_pos,train_neg,train_hard_neg,train_bg_neg,train_pos_rate,hard_negative_pool_size,hard_negative_candidate_count,avg_subgraph_nodes,avg_subgraph_edges,emb_norm,dirichlet,grad_norm,best_epoch,lr,loss_pos_weight,context_delta_norm,context_drift_abs_mean,context_emb_norm,context_gate_mean,context_logit_abs_mean,context_residual_clip_fraction,context_residual_penalty,context_stability_gate_mean,prototype_active_epoch,prototype_classification_loss,prototype_classification_ratio,prototype_consistency_loss,prototype_loss_ramp,prototype_margin,prototype_memory_initialized_ratio,prototype_separation_loss,prototype_target_available_ratio,prototype_temporal_stability,target_time_position_mean,time_emb_norm,time_expert_context_drift,time_expert_delta_norm,time_expert_entropy,time_expert_entropy_gate,time_expert_entropy_norm,time_expert_entropy_penalty,time_expert_max_weight,time_expert_time_emb_norm
1,1.233804697340185,1.2324938439961635,0.0,0.0,0.0,0.0,0.0,2.2223573813045565e-05,0.026172587435818667,0.0,0.0,0.0,0.0,0.03,1.0,0.1,0.0,0.0,1.0,0.8091943369749536,0.29118764135633657,0.24014090557553736,16084,4021,12063,0,0,0.25,0,0,6325.242424242424,7094.666666666667,34.139043865781844,355481.69553814514,23.51334831389514,1,0.0003,3.0,1.0256380222060464,1.4563117370460972,1.3014566428733594,0.6467634322065295,0.006718016081404957,0.0,2.2223573813045565e-05,0.5058774749437968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4848484992980957,1.398866270527695,1.4489446345603827,0.3080845631828362,1.3114056406599102,0.9459791960138263,0.9459791960138263,0.026172587435818667,0.3602317020748601,1.8031609564116506
2,0.9735505477045522,0.9715289812196385,0.0,0.0,0.0,0.0,0.0,1.1487639285130143e-05,0.04040851748449671,0.0,0.0,0.0,0.0,0.03,1.0,0.1,0.0,0.0,1.0,0.76493110058902,0.1910548065848946,0.12952511802694056,16084,4021,12063,10704,0,0.25,23262,27652,6387.363636363636,7164.848484848485,36.76313879995635,310657.6319691051,25.224737951249786,1,0.0003,3.0,0.8305980111613418,1.4525495279919018,1.2088291482491926,0.5081415962089192,0.013008965038214668,5.918560606060606e-05,1.1487639285130143e-05,0.5065301801219131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4848484992980957,0.9861697662960399,1.4506806099053584,0.09589737450534647,1.2914944164680713,0.9316162755995085,0.9316162755995085,0.04040851748449671,0.3672939295118505,1.3377819856007893
3,0.517383186654611,0.5132794330517451,0.0,0.06254125335677103,0.035528235363237785,0.0,0.0,5.88353557098096e-05,0.03141911800996626,0.0,0.0,0.0,0.0,0.012,0.4,0.1,0.0,0.0,1.0,0.7729485288236811,0.5556535080972895,0.5467918189934837,16084,4021,12063,10704,0,0.25,23262,27652,6334.060606060606,7085.515151515152,38.96405925172748,323652.6298606179,6.371536625154091,1,0.0003,3.0,1.0532914237542585,1.4729311701023218,1.499463601545854,0.4889111338239728,0.02142798835693887,0.0003618041801294594,5.88353557098096e-05,0.5173343438090701,1.0,0.2375499030405825,0.969696966084567,0.20822311305638516,0.25,0.4072413309053941,1.0,0.044079090299254116,0.969696966084567,0.8554316813295538,0.4848484992980957,1.1321501479004368,1.466680362369075,0.13093808790047964,1.313974936803182,0.947832546450875,0.947832546450875,0.03141911800996626,0.33848939249009796,1.5707018700512974
4,0.4264193272048777,0.42232303908376984,0.0,0.1227217914931702,0.02154405369903102,0.0,0.0,0.00011775579200316729,0.024462115949118568,0.0,0.0,0.0,0.0,0.014538601797870743,0.4846200599290248,0.1,0.0,0.0,1.0,0.814614757892713,0.34549528961114234,0.303379041571524,16084,4021,12063,10704,0,0.25,23262,27652,6333.090909090909,7083.969696969697,35.035871216745086,203932.10868696732,8.40171791567947,4,0.0003,3.0,0.8515882907491742,1.2789166082035412,1.3582795099778608,0.336017652442961,0.022028205069628628,0.0010635198136283593,0.00011775579200316729,0.5027869416005684,1.0,0.23460119782072125,0.9999999963875973,0.16958260626503915,0.5,0.5575968605099302,1.0,0.04726510506236192,0.9999999963875973,0.9866105588999662,0.4848484992980957,0.8393809975999774,1.2744689565716367,0.17080088749979483,1.3414570743387395,0.9676567370241339,0.9676567370241339,0.024462115949118568,0.30413920861302,1.1600391286792178
5,0.8573934751929659,0.8523082055828788,0.0,0.16797339509833942,0.01534776615374016,0.0,0.0,0.00015972636527184284,0.025075207033792554,0.0,0.0,0.0,0.0,0.018146659309589388,0.6048886436529797,0.1,0.0,0.0,1.0,0.7773588060936211,0.6019173036753405,0.593035696811217,16084,4021,12063,10704,0,0.25,23262,27652,6257.030303030303,6988.242424242424,37.66943035703717,237361.74343039774,19.665988784847837,4,0.0003,3.0,1.0927223472884207,1.320788020437414,1.638830683448098,0.3603051340941227,0.03220062866581209,0.0013116846411404285,0.00015972636527184284,0.5045558945699171,1.0,0.2118475360400749,0.9999999963875973,0.2008862825054111,0.75,0.4932576526295055,1.0,0.04145355850006595,0.9999999963875973,0.9886316964120576,0.4848484992980957,1.0443458502942866,1.3141452778469433,0.17725823210044342,1.3333304650855786,0.961794609373266,0.961794609373266,0.025075207033792554,0.32071484580184473,1.2479756528680974
6,0.38660176143501745,0.38065881711063965,0.0,0.18668328473965326,0.012695764050339207,0.0,0.0,0.0005490455055296927,0.025561400361105123,0.0,0.0,0.0,0.0,0.02129372808208197,0.709790936069399,0.1,0.0,0.0,1.0,0.7804027689024,0.5192206279936179,0.5095251131341325,16084,4021,12063,10704,0,0.25,23262,27652,6348.969696969697,7112.606060606061,35.36739060373017,157984.3027528705,13.143742073665965,4,0.0003,3.0,0.980883311141621,1.1955247756206628,1.6072218923857717,0.3121397237886082,0.04007609182912292,0.0036030375878467703,0.0005490455055296927,0.49757175282998517,1.0,0.17676253323302124,0.9999999963875973,0.16416998094681537,1.0,0.6120513939496243,1.0,0.03424505954326102,0.9999999963875973,0.9898890473625876,0.4848484992980957,0.7783580422401428,1.188035609144153,0.16926399370034537,1.3314264290260547,0.9604211269002972,0.9604211269002972,0.025561400361105123,0.32244755734096875,0.9480978485309717
7,0.340473305321101,0.334421535784548,0.0,0.19816794923760675,0.010092767802151766,0.0,0.0,0.00031168745133045104,0.02145277082816006,0.0,0.0,0.0,0.0,0.022422001288308728,0.7474000429436243,0.1,0.0,0.0,1.0,0.7689098729297256,0.19379201725489376,0.13733843680116842,16084,4021,12063,10704,0,0.25,23262,27652,6300.848484848485,7054.969696969697,36.39221070029519,146178.80554939038,4.8469712445230195,4,0.0003,3.0,1.143692641547232,1.134513298670451,1.8269648804809109,0.2607003436847167,0.03925550232330958,0.0018902972030142944,0.00031168745133045104,0.48932726907007623,1.0,0.1856952327670473,0.9999999963875973,0.21439275913166278,1.0,0.5494584748239228,1.0,0.03506155709990046,0.9999999963875973,0.9903348557876818,0.4848484992980957,0.9970147103974314,1.1242736397367534,0.19912579068631836,1.3378455060901064,0.9650515191482775,0.9650515191482775,0.02145277082816006,0.3169854987751354,1.0661842010237954
8,0.2719311508716959,0.265761202257691,0.0,0.1723065748810768,0.018543563105843285,0.0,0.0,0.000373170824649137,0.025977089800025253,0.0,0.0,0.0,0.0,0.022672382694302183,0.7557460898100729,0.1,0.0,0.0,1.0,0.8165674868458151,0.34700517353961335,0.30518370449032756,16084,4021,12063,10704,0,0.25,23262,27652,6323.818181818182,7085.484848484848,36.59039514715021,132551.15704160748,3.8533142055525924,8,0.0003,3.0,1.023662648417733,1.186028545553034,1.6298430616205388,0.2886878161719351,0.042532116852023384,0.001900629937705217,0.000373170824649137,0.4803087774551276,1.0,0.16296203908595172,0.9999999963875973,0.1553120491179553,1.0,0.6440242303140236,1.0,0.031578678214414554,0.9999999963875973,0.9901290517864805,0.4848484992980957,0.8337787371693235,1.1752239881139812,0.20114792477000842,1.334515448772546,0.9626493869405804,0.9626493869405804,0.025977089800025253,0.3123597836855686,0.8323343992233276
9,0.22951465890263067,0.22439676365166,0.0,0.14795298817934413,0.009535915923841072,0.0,0.0,0.0008325501077929321,0.02227615347609654,0.0,0.0,0.0,0.0,0.023277890768221447,0.7759296922740483,0.1,0.0,0.0,1.0,0.7523509091393815,0.17566713477057766,0.12254739944310858,16084,4021,12063,10704,0,0.25,23262,27652,6369.606060606061,7123.545454545455,39.22109326449308,163207.94189083215,3.8735241257783137,8,0.0003,3.0,1.262955615014741,1.2459523804260022,1.893018845355872,0.28631788808287995,0.04769668818423242,0.004384604296788122,0.0008325501077929321,0.48291245464122656,1.0,0.13663841772711638,0.9999999963875973,0.20246956836093555,1.0,0.6245147730364944,1.0,0.023821824004478527,0.9999999963875973,0.9915379285812378,0.4848484992980957,1.0363368825478987,1.2307326594988506,0.3799281133846803,1.3282976547876995,0.9581642078630852,0.9581642078630852,0.02227615347609654,0.3291297040202401,0.9649274800762986
10,0.16390672066446507,0.1600358219760837,0.0,0.11035205728628418,0.00822945074601607,0.0,0.0,0.0006872472630206947,0.016007621811461308,0.0,0.0,0.0,0.0,0.023473230276027802,0.7824410092009267,0.1,0.09566219661716979,0.9566219661716979,1.0,0.7370559629477331,0.16564241784154982,0.10994892205590276,16084,4021,12063,10704,0,0.25,23262,27652,6321.121212121212,7076.424242424242,35.65000216166178,82836.1260579427,2.479144867622491,8,0.0003,3.0,1.1832268436749775,1.262189735065807,1.6916836933656172,0.30153881600408844,0.053545875757029564,0.0036144599981718893,0.0006872472630206947,0.48033172795266815,1.0,0.10250674334890915,0.9999999963875973,0.13930259825605334,1.0,0.7118715661944766,1.0,0.01760366759933249,0.9999999963875973,0.9916108431238116,0.4848484992980957,0.8389867092623855,1.2433248108083552,0.46938801082697784,1.3341864708698157,0.9624121026559309,0.9624121026559309,0.016007621811461308,0.32421794533729553,0.9754845481930356
