epoch,train_loss,train_auc,val_loss,val_auc
1,0.725702,,,0.772550
2,0.489761,,,0.777196
3,0.342003,,,0.777993
4,0.218593,,,0.779596
5,0.189818,,,0.780205
6,0.177649,,,0.781813
7,0.228089,,,0.782498
8,0.110268,,,0.782555
9,0.107420,,,0.783289
10,0.104222,,,0.783148
11,0.079588,,,0.783452
12,0.072023,,,0.782515
13,0.089745,,,0.782814
14,0.070830,,,0.782879
15,0.060052,,,0.782918
16,0.030329,,,0.783076
17,0.034397,,,0.784006
18,0.019980,,,0.782942
19,0.022934,,,0.782879
20,0.013011,,,0.783151
21,0.021181,,,0.782951
22,0.009316,,,0.782619
23,0.018788,,,0.783361
24,0.010906,,,0.782950
25,0.013807,,,0.783283
26,0.009198,,,0.783171
27,0.011211,,,0.783237
