epoch,train_loss,train_auc,val_loss,val_auc
1,0.667419,,,0.772031
2,0.675240,,,0.776472
3,0.493018,,,0.774824
4,0.229599,,,0.779720
5,0.234772,,,0.639652
6,0.196968,,,0.780420
7,0.191754,,,0.779633
8,0.130569,,,0.782153
9,0.142414,,,0.727350
10,0.097711,,,0.782905
11,0.095325,,,0.688371
12,0.077653,,,0.686443
13,0.077035,,,0.681655
14,0.046290,,,0.685078
15,0.043267,,,0.698936
16,0.030964,,,0.703720
17,0.027866,,,0.680832
18,0.016995,,,0.652301
19,0.026239,,,0.656148
20,0.013694,,,0.698629
21,0.016565,,,0.689911
22,0.009868,,,0.690360
23,0.016463,,,0.679538
24,0.009967,,,0.691888
25,0.012360,,,0.676018
26,0.007267,,,0.691952
27,0.014139,,,0.686400
28,0.006452,,,0.691037
29,0.013237,,,0.680834
30,0.008144,,,0.689594
