epoch,train_loss,train_auc,val_loss,val_auc
1,1.187011,,,0.764949
2,1.222706,,,0.765841
3,0.862700,,,0.769851
4,0.642396,,,0.754075
5,0.518809,,,0.815270
6,0.706211,,,0.777046
7,0.666607,,,0.408627
8,0.866306,,,0.773078
9,0.689306,,,0.529084
10,0.401463,,,0.818052
11,0.810281,,,0.520991
12,0.397224,,,0.798563
13,0.492535,,,0.445373
14,0.324462,,,0.781308
15,0.299903,,,0.538305
16,0.227269,,,0.525261
17,0.284804,,,0.459193
18,0.210204,,,0.475476
19,0.247358,,,0.427242
20,0.207177,,,0.433848
21,0.230852,,,0.425963
22,0.186027,,,0.428930
23,0.232405,,,0.426190
24,0.178579,,,0.418234
25,0.216387,,,0.416737
26,0.191863,,,0.416783
27,0.210788,,,0.416920
28,0.163266,,,0.416148
29,0.211230,,,0.416190
30,0.169431,,,0.416719
