epoch,train_loss,train_auc,val_loss,val_auc
1,1.217954,,,0.789823
2,0.688472,,,0.818140
3,0.638946,,,0.772341
4,0.485249,,,0.794591
5,0.379197,,,0.778341
6,0.351897,,,0.809436
7,0.314299,,,0.593260
8,0.266743,,,0.763020
9,0.260472,,,0.716243
10,0.224000,,,0.579919
11,0.197534,,,0.582017
12,0.144943,,,0.631352
13,0.184123,,,0.642855
14,0.132398,,,0.573006
15,0.182394,,,0.581000
16,0.128314,,,0.624405
17,0.154736,,,0.571473
18,0.122532,,,0.619751
19,0.162099,,,0.508700
20,0.119997,,,0.612405
21,0.157011,,,0.487719
22,0.121110,,,0.586098
23,0.157051,,,0.531797
24,0.102978,,,0.562741
25,0.157606,,,0.504600
26,0.105743,,,0.578903
27,0.150234,,,0.498956
28,0.108288,,,0.576175
29,0.144588,,,0.489597
30,0.100229,,,0.569609
