epoch,train_loss,train_auc,val_loss,val_auc
1,0.804406,,,0.780070
2,0.860642,,,0.784405
3,0.849518,,,0.788993
4,0.842115,,,0.787939
5,0.846299,,,0.786605
6,0.827957,,,0.788197
7,0.835145,,,0.789988
8,0.815739,,,0.787147
9,0.821602,,,0.786428
10,0.803716,,,0.785757
11,0.802733,,,0.782672
12,0.770642,,,0.779817
13,0.777218,,,0.777393
14,0.743239,,,0.776009
15,0.766627,,,0.777405
16,0.715566,,,0.770193
17,0.743948,,,0.773971
18,0.697052,,,0.771492
19,0.737954,,,0.770957
20,0.677534,,,0.769407
21,0.720251,,,0.769021
22,0.672222,,,0.767916
23,0.724809,,,0.769684
24,0.661057,,,0.769749
25,0.716142,,,0.768234
26,0.660335,,,0.766705
27,0.716293,,,0.768357
28,0.646115,,,0.769103
29,0.706207,,,0.769538
30,0.643810,,,0.768491
