epoch,train_loss,train_base_loss,train_ranking_loss,train_prototype_loss,train_normal_align_loss,train_normal_bucket_adv_loss,train_aux_loss,train_context_regularization_loss,train_adapter_regularization_loss,train_pseudo_contrastive_loss,train_embedding_diffusion_loss,train_embedding_diffusion_score_loss,train_embedding_diffusion_view_loss,prototype_loss_weight_effective,prototype_trust_score,context_residual_budget_weight_effective,context_residual_budget_release_progress,context_residual_budget_prototype_readiness,context_residual_budget_guard_strength,val_auc,val_pr_auc,val_ap,train_targets,train_pos,train_neg,train_hard_neg,train_bg_neg,train_pos_rate,hard_negative_pool_size,hard_negative_candidate_count,avg_subgraph_nodes,avg_subgraph_edges,emb_norm,dirichlet,grad_norm,best_epoch,lr,loss_pos_weight,context_delta_norm,context_drift_abs_mean,context_emb_norm,context_gate_mean,context_logit_abs_mean,context_residual_clip_fraction,context_residual_penalty,context_stability_gate_mean,diffusion_reconstruction_score,diffusion_score_calibration_mean,diffusion_score_calibration_std,diffusion_score_fraud_mean,diffusion_score_loss,diffusion_score_mean,diffusion_score_normal_mean,diffusion_score_std,diffusion_selected_count,diffusion_sigma_mean,diffusion_view_count,diffusion_view_loss,diffusion_view_neg_sim,diffusion_view_pos_sim,internal_risk_delta_norm,internal_risk_direction_gap_norm,internal_risk_gate_mean,internal_risk_hop_gap_norm,internal_risk_short_long_gap_norm,message_risk_scale_mean,message_risk_score_mean,prototype_active_epoch,prototype_classification_loss,prototype_classification_ratio,prototype_consistency_loss,prototype_loss_ramp,prototype_margin,prototype_memory_initialized_ratio,prototype_separation_loss,prototype_target_available_ratio,prototype_temporal_stability,target_time_position_mean,time_emb_norm,time_expert_context_drift,time_expert_delta_norm,time_expert_entropy,time_expert_entropy_gate,time_expert_entropy_norm,time_expert_entropy_penalty,time_expert_max_weight,time_expert_time_emb_norm,pseudo_contrastive_anomaly_count,pseudo_contrastive_bucket_count,pseudo_contrastive_normal_count,pseudo_contrastive_selected_ratio
1,0.8044063661058071,0.8036155165252039,0.0,0.0,0.0,0.0,0.0,0.0,3.0337723512922697e-05,0.0,1.965275885695118,0.6353950702537925,3.327326806925111,0.04,1.0,0.1,0.0,0.0,1.0,0.7800698489385158,0.04554520311300664,0.04576375794281421,29652,7413,22239,0,0,0.25,0,0,2497.084745762712,3169.0677966101694,18.92302341784461,754.1238858497749,0.8237207168239659,1,0.0003,3.0,0.7766194858793485,0.3527139000973459,0.8829160150835069,0.5911831370854782,0.006928747093652265,0.0,0.0,0.5045086160554724,4.5544277449785655,5.434655947432424,0.1790763090521843,5.482418318926277,0.6353950702537925,5.316022614301262,5.260557497962046,0.23494689002380534,502.5762711864407,0.6214681979963335,502.5762711864407,3.327326806925111,0.1911281784207134,0.9002611111786406,0.22144545400041646,11.262947470454847,0.5204192445439807,11.313685368683378,2.6516686415268205,0.9982197315005933,0.4881316938642728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1581920951099719,1.2353739657644498,0.3529602834733866,0.019452776921660465,1.3650737374515858,0.9846925472809096,0.9846925472809096,3.0337723512922697e-05,0.3244026060831749,1.2458583823705123,,,,
2,0.8606418199458364,0.8555364396612523,0.0,0.08677264063035027,0.017956612473827297,0.0,0.0,4.3623264700419e-06,1.2818155652385647e-05,0.0,1.4477803686917838,0.6926475813833334,3.767379950668852,0.04,1.0,0.1,0.0,0.0,1.0,0.7844047068897937,0.0469541704489161,0.04722341073300884,29652,7413,22239,11118,0,0.25,44478,88956,2533.101694915254,3144.0,17.51932102138713,690.6535447977357,0.6696101331104667,2,0.0003,3.0,0.6470145239668378,0.294127494096756,0.822771472445989,0.6493366330356921,0.016586451522879683,3.3103813559322034e-05,4.3623264700419e-06,0.5072966975680853,3.7748354087441656,4.057102370942239,0.4861482742544198,4.074179984755435,0.6926475813833334,3.841433347281763,3.7638511940584345,0.5079810472868257,502.5762711864407,0.618947964603618,502.5762711864407,3.767379950668852,0.22740673614760576,0.9198503999386803,0.35201134014937835,11.273508669966358,0.5614408305135824,11.313681715625828,2.4978312152927207,0.9981330380601398,0.48755378541299854,1.0,0.332921149366993,0.983050846447379,0.21794560021263057,0.25,0.1569370461975114,1.0,0.06544265384643765,0.983050846447379,0.9472629761291762,0.1581920951099719,1.0449427962303162,0.29189296445604096,0.025008736272989694,1.3662379575987993,0.985532358541327,0.985532358541327,1.2818155652385647e-05,0.32800659991927067,0.9898577534546287,,,,
3,0.8495183657791655,0.8422226865412825,0.0,0.16835445594989648,0.013323530302209369,0.0,0.0,0.000492298854732002,2.939186934026558e-05,0.13906884092395588,1.4178090257159734,0.6841644483097529,3.528845629449618,0.01836936838473881,0.4592342096184703,0.1,0.0,0.0,1.0,0.7889934693442715,0.046632369740606396,0.04684582109276254,29652,7413,22239,11118,0,0.25,44478,88956,2546.0,3165.915254237288,18.569245225292143,794.2169013589115,0.6876730888576831,3,0.0003,3.0,0.9207923149658461,0.3389689942537728,1.123517333450964,0.8348059078394356,0.038506337678280926,0.0018517280991931083,0.000492298854732002,0.5296583872730449,3.753713304713621,3.8988320136714765,0.4897843514592254,4.189212609145601,0.6841644483097529,3.952170865010407,3.8731570405475164,0.4809135966381784,502.5762711864407,0.6158493181406441,502.5762711864407,3.528845629449618,0.2151653089765775,0.9137412855180643,0.42584276451902875,11.276894294609457,0.6489125045679384,11.313685643470894,2.5483974763902566,0.9981478573912281,0.4876524866637537,1.0,0.3225590301267171,0.9999999989897518,0.22510436505584394,0.5,0.1344624218546738,1.0,0.057893286885346396,0.9999999989897518,0.9950637716357991,0.1581920951099719,1.3226397178940854,0.33866473375740697,0.04706927082674988,1.3633706307007094,0.9834640086707422,0.9834640086707422,2.939186934026558e-05,0.32730011869285064,1.0746938717567314,23.0,1.3333333333333333,23.0,0.2395833432674408
4,0.8421151739055828,0.8347150198483871,0.0,0.24612176519329265,0.010939026283005537,0.0,0.0,0.0005587633126104542,0.00010182558537700847,0.06670768483210418,1.1037936715756433,0.6675106761819225,4.043537899599237,0.019365308185021832,0.4841327046255458,0.1,0.0,0.0,1.0,0.7879388673376377,0.04498004134815177,0.04508406341976243,29652,7413,22239,11118,0,0.25,44478,88956,2546.237288135593,3174.762711864407,17.971863180904066,675.0272403005827,0.6245826063519817,3,0.0003,3.0,0.8156203011334953,0.34636540130033333,1.0136508709293302,0.8277903775037345,0.04659729791899859,0.0012579449152542372,0.0005587633126104542,0.5179535392987527,3.1478241459798006,3.114061521438985,0.5718173257739838,3.305665363699703,0.6675106761819225,2.9716669098805575,2.8603341579437256,0.5915096735550185,502.5762711864407,0.6155690065884994,502.5762711864407,4.043537899599237,0.2742449224500333,0.9309344210867154,0.48890273449784616,11.27598010887534,0.7306374867083663,11.313682459168515,2.5587725154424117,0.9980401911977994,0.4869347654156766,1.0,0.317019573712753,0.9999999989897518,0.16522363535428453,0.75,0.14351618125782176,1.0,0.05763192361189147,0.9999999989897518,0.9949954677436311,0.1581920951099719,1.242013068522437,0.3524909014418974,0.11542976458193892,1.364756582146984,0.9844637593980563,0.9844637593980563,0.00010182558537700847,0.32264817922802297,1.008713616152941,23.0,1.3333333333333333,23.0,0.2395833432674408
5,0.8462988562503103,0.8359086523621769,0.0,0.3255719426324812,0.009597116607730672,0.0,0.0,0.0003681806631640815,0.0002364498159603484,0.10668170250068276,1.268643852007591,0.6652009083052813,3.8490606162507657,0.021571010746033074,0.5392752686508269,0.1,0.0,0.0,1.0,0.7866046443649162,0.047169134536363046,0.047288857087502786,29652,7413,22239,11118,0,0.25,44478,88956,2533.6271186440677,3156.762711864407,19.0592818179373,759.2912163168697,0.7103077526819908,3,0.0003,3.0,0.8783425648333663,0.3816561436249038,1.1136526788695384,0.8141083121299744,0.04519604159108663,0.0011255296610169492,0.0003681806631640815,0.5026952043428259,3.4874373169268593,3.5562652663914136,0.5580036458866773,3.9885884624416543,0.6652009083052813,3.6707119295152566,3.5647531646793174,0.5527862285153341,502.5762711864407,0.621966535762205,502.5762711864407,3.8490606162507657,0.269055962309999,0.9160409832404832,0.5305302830065711,11.277086387246342,0.8083714873103772,11.313686661801096,2.5620078656633023,0.9980618579912994,0.4870792238389031,1.0,0.3142440162472806,0.9999999989897518,0.17561266205068363,1.0,0.11411078968795679,1.0,0.050945868747214136,0.9999999989897518,0.996381075705512,0.1581920951099719,1.3820945448794608,0.39184374829470103,0.16622270769992117,1.3594044507560084,0.9806030079469843,0.9806030079469843,0.0002364498159603484,0.3318003395856437,1.0846480090739363,23.0,1.3333333333333333,23.0,0.2395833432674408
6,0.8279568987377619,0.8189141982692784,0.0,0.3149828385498564,0.008259777295387398,0.0,0.0,0.00024005984164817828,0.00011677405631941174,0.04812989851175729,1.0273481445797419,0.6409254316556252,4.202311863333492,0.02205664191405748,0.551416047851437,0.1,0.0,0.0,1.0,0.7881968337005612,0.044248907581280736,0.0444204192332935,29652,7413,22239,11118,0,0.25,44478,88956,2551.7457627118642,3192.186440677966,18.301496311769647,735.4474725238348,0.65730542954752,3,0.0003,3.0,0.7521478250875311,0.3865178187014693,0.9993202827744565,0.8080201936980426,0.04652316009594222,0.0006023656529516487,0.00024005984164817828,0.49231804275916796,3.0131486351207153,3.1558125624594195,0.7149786958266621,3.5785903849844205,0.6409254316556252,3.0767518423371394,2.909472425105208,0.737126195834855,502.5762711864407,0.6140234207702895,502.5762711864407,4.202311863333492,0.3146398057371883,0.9261183960963104,0.5510197898088876,11.277571532685878,0.848013978893474,11.31368362297446,2.5506814132302496,0.9982087682869475,0.48805857209836023,1.0,0.30584298099501656,0.9999999989897518,0.1328776152962345,1.0,0.12227860358306918,1.0,0.049919536368826685,0.9999999989897518,0.9965586652189998,0.1581920951099719,1.2798947984889402,0.39578649452177145,0.22127991914749146,1.3637635990724726,0.9837474782588118,0.9837474782588118,0.00011677405631941174,0.3238072087199001,0.8906839954651008,23.0,1.3333333333333333,23.0,0.2395833432674408
7,0.8351445895130352,0.8248156107078164,0.0,0.3233036085710687,0.0077387054087752006,0.0,0.0,0.00042857589900357476,0.0001379347623866525,0.09273117578635781,1.2115645832934623,0.6465597021377693,3.934484950566696,0.022694599127123773,0.5673649781780943,0.1,0.0,0.0,1.0,0.7899879620540571,0.0459317859011183,0.04606613771804483,29652,7413,22239,11118,0,0.25,44478,88956,2549.5593220338983,3176.0338983050847,19.33962918944278,802.3047743975106,0.7262147634716357,7,0.0003,3.0,0.8624226077128265,0.40299238895965833,1.1231648699711945,0.7733503681118206,0.04991230236019118,0.001092425847457627,0.00042857589900357476,0.4862595988532244,3.3743299872188244,3.7332279291557864,0.732284804520764,4.332409288923619,0.6465597021377693,3.849122035301338,3.6880263878127275,0.7383682364124363,502.5762711864407,0.6227302278502512,502.5762711864407,3.934484950566696,0.28512177300655234,0.9090650313991612,0.5714607269076978,11.279713275068897,0.8854650279222909,11.313687502327612,2.575927002955291,0.9981557272248349,0.4877050109839035,1.0,0.3130904284574218,0.9999999989897518,0.15744716030056194,1.0,0.10101154105643094,1.0,0.046816380410376245,0.9999999989897518,0.9972329058889615,0.1581920951099719,1.443477250761905,0.41520498869782785,0.2653428717689999,1.3644363900362435,0.9842327944302963,0.9842327944302963,0.0001379347623866525,0.3211967035875482,1.0576350618216952,23.0,1.3333333333333333,23.0,0.2395833432674408
8,0.8157391628976596,0.806664298146458,0.0,0.3119240342560461,0.007884586261490644,0.0,0.0,0.0002565593658492632,0.00013579951226316646,0.045350798610913554,1.0014942460140939,0.6245479058411162,4.248882536160743,0.022613015735817536,0.5653253933954384,0.1,0.0,0.0,1.0,0.7871471043688305,0.043398541034828535,0.04349346979486534,29652,7413,22239,11118,0,0.25,44478,88956,2558.5593220338983,3209.915254237288,18.934042785127286,750.5343793448756,0.7387634702658249,7,0.0003,3.0,0.7259050435939077,0.40617024999553875,0.9760777424957793,0.7415328894631338,0.052515139645439086,0.00046995039871436053,0.0002565593658492632,0.4668718404689078,2.9412323297080345,3.449789632610807,0.8373802832374808,4.000910823628054,0.6245479058411162,3.3694390806101135,3.158948615445929,0.8515716629513239,502.5762711864407,0.6116470058085555,502.5762711864407,4.248882536160743,0.3208114161329754,0.9195713400840759,0.5933121917611461,11.281243566739358,0.9002748444928961,11.31368549799515,2.654563932095544,0.9981115611933046,0.4874105771719399,1.0,0.30362184269953585,0.9999999989897518,0.12032426994735912,1.0,0.11131584170763775,1.0,0.04571954173556829,0.9999999989897518,0.9965144769620087,0.1581920951099719,1.3378375122102641,0.41775788745637665,0.31364600941286247,1.3543372962434412,0.9769478339259907,0.9769478339259907,0.00013579951226316646,0.3331662573046603,0.9030138789597204,23.0,1.3333333333333333,23.0,0.2395833432674408
9,0.8216022333856356,0.8113543249792972,0.0,0.32068614333362905,0.007858551154702397,0.0,0.0,0.0002630754916334793,0.00010196411954061428,0.08741203102014833,1.1818572424225888,0.6384538765680992,3.9350133992857854,0.02301818760255454,0.5754546900638635,0.1,0.09699538401179238,0.9699538401179237,1.0,0.7864284652534821,0.044101388481225655,0.04422455427286178,29652,7413,22239,11118,0,0.25,44478,88956,2572.2542372881358,3220.9661016949153,19.88422235391908,852.3461645094014,0.798605544082189,7,0.0003,3.0,0.81147814403146,0.4210374057292938,1.1160881357677912,0.7275676444425421,0.050050475650419625,0.0004634533898305085,0.0002630754916334793,0.4605197330652657,3.3108938467704645,3.911080855721851,0.8315979200246576,4.60094419576354,0.6384538765680992,4.025882300684008,3.8341950764090327,0.8324308264053474,502.5762711864407,0.6130308215901002,502.5762711864407,3.9350133992857854,0.2809626285807561,0.9022276886438919,0.6110411205534207,11.282210269216764,0.9137179952556804,11.313688439837957,2.5960819438352423,0.9980747598712727,0.487165223743956,1.0,0.3109125595981792,0.9999999989897518,0.15033130979133866,1.0,0.0986115360411547,1.0,0.045140403938495506,0.9999999989897518,0.9970573156566943,0.1581920951099719,1.43570945222499,0.43310511617337244,0.3989578051082158,1.361258351196677,0.981940316951881,0.981940316951881,0.00010196411954061428,0.32260576395665186,1.100963382397668,23.0,1.3333333333333333,23.0,0.2395833432674408
10,0.8037163271742352,0.7946632312516034,0.0,0.3097425901283652,0.007640855797266556,0.0,0.0,0.0002129278738906023,0.00019560023386059014,0.0450399091183129,1.008743703365326,0.6188730183294264,4.224408905384904,0.022770850316639616,0.5692712579159904,0.1,0.19312694990958176,0.9656347495479087,1.0,0.785757351583395,0.04402727671511504,0.04415253338953625,29652,7413,22239,11118,0,0.25,44478,88956,2545.237288135593,3182.593220338983,19.276648343619655,771.311315504171,0.8289745551044658,7,0.0003,3.0,0.6750310214899354,0.4165913472741337,0.9956082226866383,0.7434330461388927,0.04704968258738518,0.00026483050847457627,0.0002129278738906023,0.44293987397420204,2.956036688917774,3.776389750041504,0.8668172574826225,4.394077632386805,0.6188730183294264,3.7313604193218683,3.510454779964382,0.8679161445569183,502.5762711864407,0.6253830174268302,502.5762711864407,4.224408905384904,0.31941371853068723,0.9088938185724161,0.6356721914420693,11.284459695977679,0.9246806643776975,11.313686758784925,2.524625960042921,0.9980513766660528,0.4870093242596772,1.0,0.3017633814932936,0.9999999989897518,0.11547030723195965,1.0,0.1081427243553986,1.0,0.044113868942200124,0.9999999989897518,0.9973941010943914,0.1581920951099719,1.3037059246483496,0.42327300471774604,0.4183919990466813,1.3549258547314142,0.9773723907389883,0.9773723907389883,0.00019560023386059014,0.33190709958642217,0.8679123116751849,23.0,1.3333333333333333,23.0,0.2395833432674408
