epoch,train_loss,train_auc,val_loss,val_auc
1,0.803121,,,0.781215
2,0.861961,,,0.785948
3,0.855195,,,0.791004
4,0.838797,,,0.788662
5,0.842480,,,0.785392
6,0.835467,,,0.788047
7,0.831735,,,0.791043
8,0.815701,,,0.787931
9,0.818989,,,0.785314
10,0.806417,,,0.781139
11,0.813498,,,0.784393
12,0.775532,,,0.782293
13,0.784018,,,0.782521
14,0.749533,,,0.779183
15,0.770078,,,0.780062
16,0.714967,,,0.775038
17,0.745913,,,0.776051
18,0.698486,,,0.770946
19,0.736636,,,0.770780
20,0.682107,,,0.771454
21,0.726434,,,0.773089
22,0.668712,,,0.772105
23,0.726253,,,0.771800
24,0.659232,,,0.772563
25,0.718897,,,0.772358
26,0.655618,,,0.770472
27,0.711031,,,0.771439
28,0.652573,,,0.770437
29,0.718072,,,0.771388
30,0.645882,,,0.770304
