epoch,train_loss,train_base_loss,train_ranking_loss,train_prototype_loss,train_normal_align_loss,train_normal_bucket_adv_loss,train_aux_loss,train_context_regularization_loss,train_adapter_regularization_loss,train_pseudo_contrastive_loss,train_embedding_diffusion_loss,train_embedding_diffusion_score_loss,train_embedding_diffusion_view_loss,prototype_loss_weight_effective,prototype_trust_score,context_residual_budget_weight_effective,context_residual_budget_release_progress,context_residual_budget_prototype_readiness,context_residual_budget_guard_strength,val_auc,val_pr_auc,val_ap,train_targets,train_pos,train_neg,train_hard_neg,train_bg_neg,train_pos_rate,hard_negative_pool_size,hard_negative_candidate_count,avg_subgraph_nodes,avg_subgraph_edges,emb_norm,dirichlet,grad_norm,best_epoch,lr,loss_pos_weight,context_delta_norm,context_drift_abs_mean,context_emb_norm,context_gate_mean,context_logit_abs_mean,context_residual_clip_fraction,context_residual_penalty,context_stability_gate_mean,internal_risk_delta_norm,internal_risk_direction_gap_norm,internal_risk_gate_mean,internal_risk_hop_gap_norm,internal_risk_short_long_gap_norm,message_risk_scale_mean,message_risk_score_mean,prototype_active_epoch,prototype_classification_loss,prototype_classification_ratio,prototype_consistency_loss,prototype_loss_ramp,prototype_margin,prototype_memory_initialized_ratio,prototype_separation_loss,prototype_target_available_ratio,prototype_temporal_stability,target_time_position_mean,time_emb_norm,time_expert_context_drift,time_expert_delta_norm,time_expert_entropy,time_expert_entropy_gate,time_expert_entropy_norm,time_expert_entropy_penalty,time_expert_max_weight,time_expert_time_emb_norm,pseudo_contrastive_anomaly_count,pseudo_contrastive_bucket_count,pseudo_contrastive_normal_count,pseudo_contrastive_selected_ratio,diffusion_reconstruction_score,diffusion_score_calibration_mean,diffusion_score_calibration_std,diffusion_score_fraud_mean,diffusion_score_loss,diffusion_score_mean,diffusion_score_normal_mean,diffusion_score_std,diffusion_selected_count,diffusion_sigma_mean
1,0.8031210879148063,0.8031193583698596,0.0,0.0,0.0,0.0,0.0,0.0,3.45671113313598e-05,0.0,0.0,0.0,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.7812153958676032,0.04559124034055806,0.04577166758992823,29652,7413,22239,0,0,0.25,0,0,2497.084745762712,3169.0677966101694,18.997684381775937,756.1803671626722,0.8357862032065957,1,0.0003,3.0,0.7807821085897543,0.3613447769213531,0.8876435140431937,0.6029949915611138,0.007247429678484924,0.0,0.0,0.5044401727490506,0.2179117305046421,11.26319970922955,0.5199643459360478,11.313685481831179,2.6517291634769764,0.9982197315005933,0.4881316938642728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1581920951099719,1.235850966582864,0.3622837152521489,0.020523780483310505,1.360763444738873,0.9815833194781158,0.9815833194781158,3.45671113313598e-05,0.31662065649436694,1.2352245945041462,,,,,,,,,,,,,,
2,0.8619614425352065,0.8577396839351977,0.0,0.08566663931992094,0.015836093385340803,0.0,0.0,1.720898075352849e-05,3.135672541556217e-05,0.0,0.0,0.0,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.7859477089333853,0.04704109382930683,0.04727872926072486,29652,7413,22239,11118,0,0.25,44478,88956,2528.0338983050847,3131.677966101695,17.793392633987686,690.7436295848781,0.6522945690963228,2,0.0003,3.0,0.7114414087796616,0.3074030073012336,0.8796398397219383,0.7342856879961692,0.021447341368233754,3.3103813559322034e-05,1.720898075352849e-05,0.5125695881197008,0.3452953044640816,11.274736178123344,0.5608906463041143,11.313682362184686,2.488648640907417,0.9981861690343437,0.4879079198433181,1.0,0.3291849509134131,0.983050846447379,0.2073550643557209,0.25,0.13651990019163843,1.0,0.06227709207746942,0.983050846447379,0.9471572890120038,0.1581920951099719,1.128034476506508,0.30652714280758875,0.028903464202658605,1.3560505701323686,0.9781837069382102,0.9781837069382102,3.135672541556217e-05,0.32536997683977675,0.9969022698321585,,,,,,,,,,,,,,
3,0.8551951151783184,0.8485848802631184,0.0,0.16938918096534275,0.0137069023261636,0.0,0.0,0.000837693194132614,3.573750932523349e-05,0.1362090555288024,0.0,0.0,0.0,0.01839050992049291,0.45976274801232275,0.1,0.0,0.0,1.0,0.7910039147713634,0.0483973766533353,0.04865657755614341,29652,7413,22239,11118,0,0.25,44478,88956,2529.6271186440677,3140.0677966101694,18.836901907193457,770.6556520623676,0.7072774080906884,3,0.0003,3.0,0.9941397895247249,0.34563463269653966,1.219954686649775,0.8823509458768166,0.04555877727472176,0.0018042428497919592,0.000837693194132614,0.5302540548777176,0.40109498167442065,11.278138176869538,0.6400929537870116,11.31368595058635,2.5135882870625643,0.9981714527485734,0.4878098530284429,1.0,0.3249272411152468,0.9999999989897518,0.21951867286431587,0.5,0.12396958710278495,1.0,0.05750374180280556,0.9999999989897518,0.9962604480274653,0.1581920951099719,1.430249189926406,0.34716560274867686,0.058366551490153296,1.3475467188883636,0.9720494797674276,0.9720494797674276,3.573750932523349e-05,0.3409637677467475,1.1115527314654852,23.0,1.3333333333333333,23.0,0.2395833432674408,,,,,,,,,,
4,0.8387970196998725,0.8321693994231143,0.0,0.2450901918997199,0.010118929006285587,0.0,0.0,0.0004780075165800261,8.013716254381353e-05,0.0664534008098861,0.0,0.0,0.0,0.019343069390923055,0.4835767347730764,0.1,0.0,0.0,1.0,0.7886616215021854,0.0469770244037833,0.047121719367766296,29652,7413,22239,11118,0,0.25,44478,88956,2543.8474576271187,3185.35593220339,18.174216997825493,672.0109418448756,0.6246162026615466,3,0.0003,3.0,0.882683360980729,0.3606674489328417,1.0571936641709279,0.8547505423174067,0.05041245547896725,0.0008275953389830508,0.0004780075165800261,0.5161962600077613,0.4982636065806373,11.275596618652344,0.7396313325833466,11.313682750120002,2.5628799058623235,0.998102829617969,0.48735234747498724,1.0,0.3159835863921602,0.9999999989897518,0.15946886524305506,0.75,0.13845665550838082,1.0,0.05659786864357479,0.9999999989897518,0.9959304262015779,0.1581920951099719,1.3925921694707062,0.3678484488341768,0.13294256617457179,1.3545384689912958,0.9770929550720473,0.9770929550720473,8.013716254381353e-05,0.3289409507129152,1.0824826056674375,23.0,1.3333333333333333,23.0,0.2395833432674408,,,,,,,,,,
5,0.8424799795878135,0.8302728644872116,0.0,0.3234014854592792,0.010198093066781254,0.0,0.0,0.0003005929510266978,0.0001255652454871116,0.10618454723034874,1.910215189901449,0.6499582993782173,0.0,0.021573806763494963,0.5393451690873741,0.1,0.0,0.0,1.0,0.7853921111289534,0.04547538331526888,0.045666566897680866,29652,7413,22239,11118,0,0.25,44478,88956,2551.728813559322,3182.3728813559323,19.23809397422661,770.4813108282574,0.6973460028737278,3,0.0003,3.0,0.9532351756499986,0.3913755093590688,1.1324836157136045,0.8477434677592779,0.047526484639462775,0.0007944915254237289,0.0003005929510266978,0.5026412020295353,0.5101001787993867,11.280925395125049,0.7968768507747327,11.313686871932724,2.588350744570716,0.9981468612864867,0.48764588519678276,1.0,0.3121101270287724,0.9999999989897518,0.1747488301184218,1.0,0.11560211273825775,1.0,0.05107833666063971,0.9999999989897518,0.9965277677875454,0.1581920951099719,1.543913362389904,0.401874364432642,0.16613072283187155,1.3479278067411002,0.972324368307146,0.972324368307146,0.0001255652454871116,0.3377734548964743,1.1743120823876332,23.0,1.3333333333333333,23.0,0.2395833432674408,4.465812137571432,5.344729675609769,0.19887328742685625,5.359410908262609,0.6499582993782173,5.209663956852283,5.159748538065765,0.25169247024203256,376.93220338983053,0.6180306233591952
6,0.8354666132037922,0.8250749555684752,0.0,0.31859162702398786,0.007997219845400019,0.0,0.0,0.00026537544649958577,0.00010684224795668496,0.04396183788776398,1.3639741570262585,0.6818659356084921,0.0,0.022081071862732067,0.5520267965683017,0.1,0.0,0.0,1.0,0.7880473414356213,0.044901878491119304,0.0451624731494447,29652,7413,22239,11118,0,0.25,44478,88956,2562.9830508474574,3200.915254237288,18.657233189728302,721.3341498940678,0.6960152700795965,3,0.0003,3.0,0.8253711007409177,0.3966310786998878,1.0053302453736128,0.818666557134208,0.04956824673434435,0.0004965572033898305,0.00026537544649958577,0.4913358971223993,0.546836746951281,11.279994738304008,0.8288074327727496,11.31368405940169,2.6084743778584367,0.9980945971052525,0.48729746372012767,1.0,0.3093009288028135,0.9999999989897518,0.13507992509057967,1.0,0.12061789328769101,1.0,0.05073407544928082,0.9999999989897518,0.9967830080097004,0.1581920951099719,1.4348747871689878,0.40596625107829853,0.22017654145168045,1.3531934043108407,0.976122698541415,0.976122698541415,0.00010684224795668496,0.33730879527027324,1.063582816366422,23.0,1.3333333333333333,23.0,0.2395833432674408,3.6213536585791637,3.980066152921199,0.5440671506143443,4.066384004334272,0.6818659356084921,3.7749963210800948,3.677867166066574,0.5848825174873158,376.93220338983053,0.6183745446851698
7,0.8317350563356432,0.8203614899667643,0.0,0.31863125097953665,0.008121423802133335,0.0,0.0,0.0004271346317521312,0.00011854116612578194,0.0848731489504798,1.3186809915607258,0.6704048100164381,0.0,0.022698045845394574,0.5674511461348644,0.1,0.0,0.0,1.0,0.7910432282804862,0.045994821030219596,0.04625225837537329,29652,7413,22239,11118,0,0.25,44478,88956,2571.898305084746,3218.135593220339,19.715526419170832,819.8071723550053,0.7268632226071116,7,0.0003,3.0,0.9401246430510182,0.41652451733411366,1.1363369953834404,0.8109493093975519,0.05248427820407738,0.0011255296610169492,0.0004271346317521312,0.4824500816353297,0.5454991025439764,11.280221987578829,0.8561752913361889,11.313688116558527,2.6743771827827065,0.998054088172266,0.48702741022837365,1.0,0.3084291540465112,0.9999999989897518,0.1569114850234177,1.0,0.10692595513695377,1.0,0.04713038153062433,0.9999999989897518,0.9974568779185667,0.1581920951099719,1.6026156797247417,0.4286472741830147,0.2758493908381058,1.3534054554114907,0.9762756571931354,0.9762756571931354,0.00011854116612578194,0.3279653287540048,1.178247938721867,22.88888888888889,1.3333333333333333,23.0,0.23900463845994738,3.586390159897885,3.8536261545313937,0.6361727040814197,4.268867230011245,0.6704048100164381,3.915584434897213,3.7978236190343306,0.6362346239009146,376.93220338983053,0.6237764722209865
8,0.815701033099223,0.80551000469822,0.0,0.31100689708176305,0.007167791916152178,0.0,0.0,0.00022815459188847345,0.0005289277006818723,0.04945108698586286,1.0921680300922718,0.650757060212604,0.0,0.022672926312951737,0.5668231578237934,0.1,0.0,0.0,1.0,0.7879308123753177,0.0450338442266122,0.045299633723099295,29652,7413,22239,11118,0,0.25,44478,88956,2536.0338983050847,3166.508474576271,19.364121356252898,767.0526112701933,0.6722006833149214,7,0.0003,3.0,0.7842728505700322,0.4190118752293668,0.9797857333037813,0.7708555217516624,0.05253925136590408,0.00039724576271186443,0.00022815459188847345,0.46941262079497514,0.5759704254441342,11.282968763577736,0.8895158858622535,11.313686758784925,2.5433886778556696,0.9980690004461903,0.487126732781782,1.0,0.3025805354118347,0.9999999989897518,0.12167247069084038,1.0,0.11673229534999799,1.0,0.04685479888724069,0.9999999989897518,0.9975823062961384,0.1581920951099719,1.4547891798665968,0.42607334357197,0.32386260820647417,1.341117430541475,0.9674117140850779,0.9674117140850779,0.0005289277006818723,0.3433701244451232,1.1360401450577429,23.0,1.3333333333333333,23.0,0.2395833432674408,3.1353125693434376,3.3600438748967836,0.7533974310701748,3.747784477169231,0.650757060212604,3.2595586332224182,3.0968167781829834,0.7697903867495262,376.93220338983053,0.6148701249542883
9,0.8189892728449935,0.8074986874046972,0.0,0.31808713836185004,0.006747355905629821,0.0,0.0,0.00032817995766675005,0.0002780343493213877,0.09260534128900301,1.2653896687394481,0.6496086888394114,0.0,0.023073534957051497,0.5768383739262875,0.1,0.09771955720246434,0.9771955720246432,1.0,0.7853143053043218,0.04309046690985318,0.04322247421279227,29652,7413,22239,11118,0,0.25,44478,88956,2525.2542372881358,3148.3389830508477,20.265938290094926,865.8388030488612,0.7400970125602464,7,0.0003,3.0,0.9070873351420387,0.4376469744464098,1.114009487426887,0.7705719359850479,0.05312890673087815,0.0008606991525423729,0.00032817995766675005,0.4654993293649059,0.5795364470805152,11.284625409013135,0.9075333839755947,11.313689765283616,2.5269672628176414,0.998067361823583,0.48711596909215893,1.0,0.30820563031455217,0.9999999989897518,0.15261852842266277,1.0,0.10242508168695337,1.0,0.04501159716460664,0.9999999989897518,0.9975392626503766,0.1581920951099719,1.5963752976918624,0.4457016157901893,0.394342485120741,1.3514989109362585,0.9749003840705096,0.9749003840705096,0.0002780343493213877,0.33121860128338054,1.3866596201718864,23.0,1.3333333333333333,23.0,0.2395833432674408,3.487362671706636,3.782849770075923,0.7691083054223526,4.375942173650709,0.6496086888394114,3.8826071609885004,3.71816222142365,0.7725141472735647,376.93220338983053,0.6237367048101911
10,0.8064173197342177,0.796357227584063,0.0,0.3112339867373644,0.006875672582852639,0.0,0.0,0.000264239255279713,0.00012359182080017182,0.043172424122438595,1.053845399517124,0.6329823116124687,0.0,0.02291987030919641,0.5729967577299102,0.1,0.19416520513135532,0.9708260256567766,1.0,0.7811386265890972,0.04392881364306005,0.04418672860175915,29652,7413,22239,11118,0,0.25,44478,88956,2563.830508474576,3217.35593220339,19.693567663936292,808.0738401251324,0.7763001029774294,7,0.0003,3.0,0.8056795395026772,0.44168260440988055,1.0103318761971036,0.7639836790197987,0.05319262756887129,0.0005958686440677966,0.000264239255279713,0.45301705497806355,0.6321342799623134,11.283844802339198,0.9279034855002064,11.313687453835698,2.6242962449283924,0.9981118470935498,0.48741245067725747,1.0,0.3033258440130848,0.9999999989897518,0.11430556478641801,1.0,0.10399162453615059,1.0,0.04385733051951659,0.9999999989897518,0.9977050474134542,0.1581920951099719,1.4919573694972668,0.4453776180744171,0.4532108938289901,1.3582323789596558,0.9797575524297811,0.9797575524297811,0.00012359182080017182,0.3265994135606087,1.1834319809735832,23.0,1.3333333333333333,23.0,0.2395833432674408,3.0636485511973754,3.43014668579769,0.9607499914712039,4.046338356147378,0.6329823116124687,3.345986568321616,3.1125360545465504,0.9944806735394365,376.93220338983053,0.6300432823472104
