epoch,train_loss,train_auc,val_loss,val_auc
1,0.803121,,,0.781216
2,0.861116,,,0.785973
3,0.851412,,,0.790012
4,0.831718,,,0.788547
5,0.845150,,,0.787080
6,0.826022,,,0.788752
7,0.835590,,,0.791342
8,0.814607,,,0.785825
9,0.820913,,,0.787308
10,0.804931,,,0.786419
11,0.805677,,,0.787576
12,0.776867,,,0.783976
13,0.787591,,,0.783015
14,0.751573,,,0.780891
15,0.770428,,,0.779576
16,0.726545,,,0.776396
17,0.748354,,,0.779332
18,0.699810,,,0.774317
19,0.745711,,,0.774273
20,0.679698,,,0.774771
21,0.735228,,,0.774920
22,0.676130,,,0.772388
23,0.724351,,,0.774400
24,0.665960,,,0.775353
25,0.718037,,,0.776332
26,0.655333,,,0.774462
27,0.715910,,,0.774069
28,0.655903,,,0.773566
29,0.720391,,,0.774286
30,0.649858,,,0.773604
