epoch,train_loss,train_auc,val_loss,val_auc
1,0.803120,,,0.781218
2,0.860477,,,0.785253
3,0.852000,,,0.789361
4,0.832600,,,0.788576
5,0.837807,,,0.787929
6,0.827610,,,0.788885
7,0.830229,,,0.789328
8,0.811082,,,0.786879
9,0.822900,,,0.786976
10,0.796072,,,0.786335
11,0.803723,,,0.784538
12,0.784956,,,0.786959
13,0.802152,,,0.788006
14,0.775541,,,0.783637
15,0.793338,,,0.785298
16,0.765133,,,0.785001
17,0.784755,,,0.785224
18,0.753536,,,0.784634
19,0.779416,,,0.784619
20,0.755203,,,0.784840
21,0.777842,,,0.783993
22,0.739564,,,0.782811
23,0.772032,,,0.783568
24,0.736294,,,0.783223
25,0.762835,,,0.783680
26,0.733457,,,0.783286
27,0.767929,,,0.783433
28,0.729420,,,0.782741
29,0.765612,,,0.782908
30,0.731182,,,0.782473
