epoch,train_loss,train_base_loss,train_ranking_loss,train_prototype_loss,train_normal_align_loss,train_normal_bucket_adv_loss,train_aux_loss,train_context_regularization_loss,train_adapter_regularization_loss,train_pseudo_contrastive_loss,train_embedding_diffusion_loss,train_embedding_diffusion_score_loss,train_embedding_diffusion_view_loss,prototype_loss_weight_effective,prototype_trust_score,context_residual_budget_weight_effective,context_residual_budget_release_progress,context_residual_budget_prototype_readiness,context_residual_budget_guard_strength,val_auc,val_pr_auc,val_ap,train_targets,train_pos,train_neg,train_hard_neg,train_bg_neg,train_pos_rate,hard_negative_pool_size,hard_negative_candidate_count,avg_subgraph_nodes,avg_subgraph_edges,emb_norm,dirichlet,grad_norm,best_epoch,lr,loss_pos_weight,context_delta_norm,context_drift_abs_mean,context_emb_norm,context_gate_mean,context_logit_abs_mean,context_residual_clip_fraction,context_residual_penalty,context_stability_gate_mean,internal_risk_delta_norm,internal_risk_direction_gap_norm,internal_risk_gate_mean,internal_risk_hop_gap_norm,internal_risk_short_long_gap_norm,message_risk_scale_mean,message_risk_score_mean,prototype_active_epoch,prototype_classification_loss,prototype_classification_ratio,prototype_consistency_loss,prototype_loss_ramp,prototype_margin,prototype_memory_initialized_ratio,prototype_separation_loss,prototype_target_available_ratio,prototype_temporal_stability,target_time_position_mean,time_emb_norm,time_expert_context_drift,time_expert_delta_norm,time_expert_entropy,time_expert_entropy_gate,time_expert_entropy_norm,time_expert_entropy_penalty,time_expert_max_weight,time_expert_time_emb_norm,pseudo_contrastive_anomaly_count,pseudo_contrastive_bucket_count,pseudo_contrastive_normal_count,pseudo_contrastive_selected_ratio,diffusion_reconstruction_score,diffusion_score_calibration_mean,diffusion_score_calibration_std,diffusion_score_fraud_mean,diffusion_score_loss,diffusion_score_mean,diffusion_score_normal_mean,diffusion_score_std,diffusion_selected_count,diffusion_sigma_mean
1,0.8031203736693172,0.8031186451346187,0.0,0.0,0.0,0.0,0.0,0.0,3.456840302964862e-05,0.0,0.0,0.0,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.7812175403115902,0.04559273371787084,0.045773056081846675,29652,7413,22239,0,0,0.25,0,0,2497.084745762712,3169.0677966101694,18.997721526582364,756.1852706650557,0.8358071234266636,1,0.0003,3.0,0.7807836219415827,0.3613453967086339,0.8876458487268222,0.6029967180753159,0.007247491279948439,0.0,0.0,0.5044403040813188,0.21790950164451436,11.263202602580442,0.5199651783805782,11.313685530323093,2.6517284967131536,0.9982197315005933,0.4881316938642728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1581920951099719,1.2358514312970437,0.3622827752161834,0.02052373472222332,1.3607642913268785,0.981583931688535,0.981583931688535,3.456840302964862e-05,0.31661838495125205,1.2352275484699313,,,,,,,,,,,,,,
2,0.860477360628419,0.8561943900787224,0.0,0.08569676100702608,0.01692942542544866,0.0,0.0,1.3259536452528278e-05,0.0001460883965699981,0.0,0.0,0.0,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.7852534241114224,0.04667053718572269,0.0469117322262822,29652,7413,22239,11118,0,0.25,44478,88956,2528.9322033898306,3142.0508474576272,17.846056049152956,699.7468520342294,0.6937027962531074,2,0.0003,3.0,0.7203662062095384,0.30885383082648454,0.8804315429622844,0.7391740922200478,0.022321406104680846,3.3103813559322034e-05,1.3259536452528278e-05,0.5129450357566445,0.3439691475892471,11.274445695392156,0.5607620043269659,11.313682249036885,2.5090422347440557,0.9982368592488564,0.488245828677032,1.0,0.3292115017519159,0.983050846447379,0.20817000835628832,0.25,0.14098095590785398,1.0,0.06334080092482648,0.983050846447379,0.9469895867978112,0.1581920951099719,1.1451261750722335,0.3082681262897233,0.030866802054441582,1.3577423742261983,0.9794040797120434,0.9794040797120434,0.0001460883965699981,0.3197810826665264,1.0061822735657127,,,,,,,,,,,,,,
3,0.8520003829972219,0.8454634476516206,0.0,0.16949243010100673,0.013600650480238058,0.0,0.0,0.00045592248340145194,7.20385947962483e-05,0.134364716077255,0.0,0.0,0.0,0.018410353758869423,0.46025884397173555,0.1,0.0,0.0,1.0,0.7893608347831358,0.04759538633311643,0.04780708932044419,29652,7413,22239,11118,0,0.25,44478,88956,2523.169491525424,3130.4576271186443,18.878957425133656,779.731201171875,0.6893630260128086,3,0.0003,3.0,0.9500502307536238,0.3425230601076352,1.159460653692989,0.8834566665908038,0.04220872410273148,0.0007944915254237289,0.00045592248340145194,0.5235648619926582,0.4037121039325908,11.277718091415146,0.6460827316268015,11.313686225373866,2.516045917898922,0.998194582381491,0.48796415531029136,1.0,0.3250883893441346,0.9999999989897518,0.220058014837362,0.5,0.12680368996777777,1.0,0.05787135130268032,0.9999999989897518,0.9960720124891249,0.1581920951099719,1.4105286497180745,0.34336398516671135,0.05289631204332335,1.3482659893520808,0.972568317995233,0.972568317995233,7.20385947962483e-05,0.3442776657767215,1.0705021134877608,23.0,1.3333333333333333,23.0,0.2395833432674408,,,,,,,,,,
4,0.8325997358661587,0.8260680265345816,0.0,0.24228855386628942,0.011181376748165842,0.0,0.0,0.000468216355900148,1.864186967811863e-05,0.06167710282034793,0.0,0.0,0.0,0.019362633217814663,0.48406583044536655,0.1,0.0,0.0,1.0,0.7885755946602852,0.046579986549542866,0.04676494430616176,29652,7413,22239,11118,0,0.25,44478,88956,2543.508474576271,3173.35593220339,18.212232137130478,680.8494417869439,0.6609886707895893,3,0.0003,3.0,0.8510811783499637,0.3646814272565357,1.0166077654240495,0.8785485170655332,0.04893361088835587,0.001263014869606596,0.000468216355900148,0.5138913241483397,0.48561796343932717,11.277268086449574,0.7396353503405038,11.31368262080823,2.5623547950033414,0.9980191133790097,0.48679426261934183,1.0,0.31241493053355457,0.9999999989897518,0.15645916431637133,0.75,0.1470248137237662,1.0,0.05627034857111462,0.9999999989897518,0.9953057442681265,0.1581920951099719,1.3738144999843533,0.3704383974358187,0.13040086930080996,1.3494203595791834,0.9734010100364685,0.9734010100364685,1.864186967811863e-05,0.33864290936518526,1.0549498715643155,23.0,1.3333333333333333,23.0,0.2395833432674408,,,,,,,,,,
5,0.8378065147642362,0.8279254608235117,0.0,0.3214656725778418,0.009275993048134496,0.0,0.0,0.0003640359973976925,3.221282938700485e-05,0.09828222101017581,1.8852919319928703,0.6606751882423789,0.0,0.021683416810795584,0.5420854202698896,0.1,0.0,0.0,1.0,0.7879290363657484,0.04578935893127695,0.04598591251794311,29652,7413,22239,11118,0,0.25,44478,88956,2533.1186440677966,3159.6610169491523,19.228452682495117,770.6960304389565,0.6910737651889607,3,0.0003,3.0,0.9449884325771009,0.3949414456294755,1.100777334075863,0.8580133591668081,0.048253538434283205,0.0010658190427821571,0.0003640359973976925,0.5026262862197424,0.494841344275717,11.276346982535669,0.7920220706422451,11.313686742620954,2.556923682406797,0.998046254707595,0.4869751344292851,1.0,0.3103758925098484,0.9999999989897518,0.17103640785661794,1.0,0.11874841753456553,1.0,0.050759263462939505,0.9999999989897518,0.9966601012116771,0.1581920951099719,1.547176163075334,0.4045077537075948,0.15941620858038885,1.3497511693986797,0.9736396518804259,0.9736396518804259,3.221282938700485e-05,0.3367132281852981,1.0980248239080785,23.0,1.3333333333333333,23.0,0.2395833432674408,4.424937999854653,5.281146718462507,0.22141070347241926,5.274172920291707,0.6606751882423789,5.120153976699053,5.0688144796985695,0.27509020881380064,376.93220338983053,0.6180306233591952
6,0.8276101047709837,0.8188110488956257,0.0,0.31661795357526357,0.007702903222229521,0.0,0.0,0.00032629651511758884,7.053214947025141e-06,0.0504524374412278,1.3098756963923825,0.7129027449478538,0.0,0.022230617476115794,0.5557654369028948,0.1,0.0,0.0,1.0,0.7888848214075135,0.04535620198156932,0.045575373139667294,29652,7413,22239,11118,0,0.25,44478,88956,2554.2203389830506,3194.406779661017,18.546446396132648,719.7491030935514,0.6584243244033748,3,0.0003,3.0,0.8270802901963056,0.40415343743259624,1.010899030556113,0.8391536171153441,0.050666698712413596,0.0006289724576271186,0.00032629651511758884,0.49228303563796866,0.5298812980368987,11.27911763272043,0.8333497299986371,11.313684140221547,2.617937492111982,0.9981386206917844,0.4875909933599375,1.0,0.30765609948311823,0.9999999989897518,0.12898457618588108,1.0,0.12132508471860724,1.0,0.05025248519949994,0.9999999989897518,0.9965652308221591,0.1581920951099719,1.4195282560283855,0.41318046895124144,0.22589329339690128,1.35591242879124,0.9780840570643797,0.9780840570643797,7.053214947025141e-06,0.3240786775694055,0.9199194291890678,23.0,1.3333333333333333,23.0,0.2395833432674408,3.51529601064779,3.760004782477299,0.4882169052691178,3.748463675127191,0.7129027449478538,3.56790710303743,3.5077216867673195,0.5157699185912892,376.93220338983053,0.6183745446851698
7,0.8302291429648965,0.8201549558316247,0.0,0.32117642639047006,0.00812662455995204,0.0,0.0,0.0003129566292939717,0.0001244518493491588,0.09726222389835422,1.3027533090720742,0.7131976454944934,0.0,0.02289468393432176,0.572367098358044,0.1,0.0,0.0,1.0,0.789328194607267,0.04650845887042393,0.046675929615530555,29652,7413,22239,11118,0,0.25,44478,88956,2553.6101694915255,3184.101694915254,19.58147533869339,800.0870133739406,0.7294211559376474,3,0.00015,3.0,0.9280077825158329,0.4148491908938198,1.1131036705889945,0.8264360003552195,0.052060545627343455,0.0005627648305084746,0.0003129566292939717,0.483680294731916,0.552549608683182,11.279461537377308,0.858970167273182,11.313687971082784,2.6007446919457387,0.9981655458272514,0.48777038061012656,1.0,0.3108318437964229,0.9999999989897518,0.15908682523137432,1.0,0.10573855440242816,1.0,0.04780478870212022,0.9999999989897518,0.9972541948496285,0.1581920951099719,1.5913966671895172,0.42823585312245255,0.3048188388347626,1.3520154387263927,0.9752729706845041,0.9752729706845041,0.0001244518493491588,0.3286167696370917,1.0950406415987823,23.0,1.3333333333333333,23.0,0.2395833432674408,3.5563759803771973,3.7167524036918853,0.5664794778144103,3.982380547765958,0.7131976454944934,3.771359096139164,3.701018664796474,0.5664471483836739,376.93220338983053,0.6237764722209865
8,0.811082306554762,0.8025617639897233,0.0,0.30952254013489866,0.007829479241775255,0.0,0.0,0.00015713774670168,6.442012910788357e-05,0.039457101690567147,1.0804865441079867,0.6795582498534251,0.0,0.02273477485798451,0.5683693714496127,0.1,0.0,0.0,1.0,0.7868790657354201,0.04470915897741328,0.044899408138959304,29652,7413,22239,11118,0,0.25,44478,88956,2549.915254237288,3186.3898305084745,18.90931730755305,742.5350807319253,0.6740192286038803,3,0.00015,3.0,0.7715558227846178,0.40957322363126075,0.9603520470150446,0.7928591633247117,0.050410663803755223,0.0005958686440677966,0.00015713774670168,0.4711055482848216,0.5655151949090472,11.280328556642694,0.8706643894567327,11.313685255535578,2.583119287329205,0.9980784927384329,0.4871900955499229,1.0,0.3008422391899562,0.9999999989897518,0.12592181916964257,1.0,0.12429825633259142,1.0,0.047684214188385816,0.9999999989897518,0.9975155187865435,0.1581920951099719,1.441258206205853,0.4191255933147366,0.32992549063795706,1.3487461057759949,0.9729146411863424,0.9729146411863424,6.442012910788357e-05,0.3313219032045138,0.935830332465091,23.0,1.3333333333333333,23.0,0.2395833432674408,3.1101638745453397,3.1920141842836,0.666873026063584,3.4423762701325495,0.6795582498534251,3.094018924034248,2.9778999110399664,0.6840659965903072,376.93220338983053,0.6148701249542883
9,0.8229002336324271,0.813052997750751,0.0,0.3188023824813002,0.007961669210660256,0.0,0.0,0.00021535126007481684,0.0001438668925587435,0.08670602309501778,1.2480488187175687,0.6899938411631826,0.0,0.023110557148068728,0.5777639287017182,0.1,0.09745521050773548,0.9745521050773547,1.0,0.7869757071209992,0.04445677824574013,0.04467141820996132,29652,7413,22239,11118,0,0.25,44478,88956,2535.8474576271187,3171.101694915254,19.6367882550773,815.5627782789327,0.7840555431479115,3,0.00015,3.0,0.8751668930053711,0.4165899662648217,1.0737124226861081,0.8193852658999168,0.05044561340394667,0.00039724576271186443,0.00021535126007481684,0.46967712701377223,0.5840121638976922,11.282529669292902,0.8915640843116631,11.31368782560704,2.570399740994987,0.9980691529936709,0.48712774656586727,1.0,0.30890866962529845,0.9999999989897518,0.1520747590368077,1.0,0.10169861446750367,1.0,0.045799552131507354,0.9999999989897518,0.9980642805665226,0.1581920951099719,1.5844272112442275,0.4274904712782068,0.3613242259470083,1.3506528805878202,0.9742901062561293,0.9742901062561293,0.0001438668925587435,0.3226886002694146,1.1113531629917985,23.0,1.3333333333333333,23.0,0.2395833432674408,3.454036203481383,3.5610157742017234,0.6217406845182311,3.9300424244444248,0.6899938411631826,3.641290798025616,3.5450403124599132,0.6117820153802128,376.93220338983053,0.6237367048101911
10,0.7960719627849127,0.7875857484542718,0.0,0.3081408036967455,0.005125286215442722,0.0,0.0,0.00010943731224771862,0.00034997490741770274,0.0433707701957832,1.0590742624412148,0.666872888298358,0.0,0.022897277365010068,0.5724319341252517,0.1,0.1938097411345007,0.9690487056725035,1.0,0.7863349931822768,0.04530734926355056,0.04542214718145488,29652,7413,22239,11118,0,0.25,44478,88956,2553.3898305084745,3195.4745762711864,19.00542375596903,788.9381269034693,0.698859896700261,3,0.00015,3.0,0.7539357340941995,0.41988623950441006,0.9682595356036041,0.809999028504905,0.049781941824545296,0.00023172669491525424,0.00010943731224771862,0.46059917696451735,0.6070616336192115,11.282614352339404,0.9064027343766164,11.313685449503236,2.581846982745801,0.9980860089851638,0.48724021093320036,1.0,0.3000574551396451,0.9999999989897518,0.11719620934987472,1.0,0.11412876377166328,1.0,0.04447075557279385,0.9999999989897518,0.9978054246660006,0.1581920951099719,1.4329020391076297,0.4273948831073308,0.3971945592912577,1.3442224163120076,0.9696514889345331,0.9696514889345331,0.00034997490741770274,0.3296568166401427,1.0071041907294322,23.0,1.3333333333333333,23.0,0.2395833432674408,3.073789903673075,3.1138449331296716,0.7099643286458218,3.437280125537161,0.666872888298358,3.0275656894101934,2.890994318461014,0.7274747187808409,376.93220338983053,0.6300432823472104
