epoch,train_loss,train_auc,val_loss,val_auc
1,0.803121,,,0.781215
2,0.861121,,,0.785970
3,0.851372,,,0.790000
4,0.833011,,,0.788803
5,0.845763,,,0.786801
6,0.830302,,,0.787363
7,0.833920,,,0.789863
8,0.812585,,,0.783620
9,0.822165,,,0.782054
10,0.801406,,,0.785277
11,0.815673,,,0.784964
12,0.788433,,,0.781388
13,0.799587,,,0.781293
14,0.775620,,,0.779196
15,0.792761,,,0.781125
16,0.765440,,,0.781534
17,0.787273,,,0.781755
18,0.751470,,,0.780331
19,0.774214,,,0.781236
20,0.744688,,,0.780958
21,0.776742,,,0.780292
22,0.742753,,,0.779399
23,0.778266,,,0.778993
24,0.740776,,,0.778956
25,0.771387,,,0.779747
26,0.735868,,,0.778727
27,0.769468,,,0.779267
28,0.730176,,,0.778714
29,0.769806,,,0.778640
30,0.731596,,,0.778209
