epoch,train_loss,train_auc,val_loss,val_auc
1,0.801943,,,0.779665
2,0.862207,,,0.785055
3,0.855392,,,0.789339
4,0.839106,,,0.788085
5,0.841090,,,0.786809
6,0.827393,,,0.788201
7,0.834062,,,0.790046
8,0.816112,,,0.787779
9,0.822937,,,0.786303
10,0.803495,,,0.785029
11,0.804577,,,0.786785
12,0.777264,,,0.777394
13,0.782161,,,0.779764
14,0.753191,,,0.778841
15,0.762348,,,0.779541
16,0.726394,,,0.774588
17,0.746484,,,0.776963
18,0.695560,,,0.772471
19,0.743674,,,0.772312
20,0.680400,,,0.774247
21,0.733180,,,0.774463
22,0.667360,,,0.770164
23,0.718976,,,0.771483
24,0.657714,,,0.773519
25,0.713866,,,0.773851
26,0.646908,,,0.772040
27,0.714550,,,0.772497
28,0.646335,,,0.772034
29,0.705154,,,0.772644
30,0.637017,,,0.772072
