epoch,train_loss,train_auc,val_loss,val_auc
1,0.803121,,,0.781217
2,0.863291,,,0.786177
3,0.854213,,,0.789957
4,0.846127,,,0.788342
5,0.841947,,,0.789444
6,0.834344,,,0.789348
7,0.839197,,,0.789835
8,0.813554,,,0.790508
9,0.821918,,,0.789007
10,0.796271,,,0.784762
11,0.806154,,,0.787032
12,0.785917,,,0.786930
13,0.793019,,,0.786327
14,0.767358,,,0.784657
15,0.789004,,,0.784645
16,0.760918,,,0.782913
17,0.776435,,,0.783750
18,0.747297,,,0.781990
19,0.771583,,,0.781219
20,0.736911,,,0.780087
21,0.768797,,,0.781394
22,0.729966,,,0.781273
23,0.766951,,,0.782108
24,0.728673,,,0.781158
25,0.758337,,,0.781576
26,0.718685,,,0.781590
27,0.757601,,,0.781338
28,0.718493,,,0.780460
29,0.760033,,,0.780631
30,0.710430,,,0.780296
