epoch,train_loss,train_auc,val_loss,val_auc
1,0.872185,,,0.725498
2,0.951226,,,0.735938
3,0.943883,,,0.733090
4,0.941084,,,0.727166
5,0.935656,,,0.728542
6,0.929743,,,0.730803
7,0.924877,,,0.724776
8,0.921127,,,0.724864
9,0.919734,,,0.728708
10,0.911310,,,0.730644
11,0.907087,,,0.726708
12,0.896093,,,0.729253
13,0.913484,,,0.727171
14,0.893443,,,0.726962
15,0.901335,,,0.725556
16,0.883557,,,0.728249
17,0.892264,,,0.725702
18,0.880446,,,0.726434
19,0.898132,,,0.724436
20,0.874447,,,0.726089
21,0.898324,,,0.725264
22,0.875270,,,0.726052
23,0.891112,,,0.725199
24,0.866267,,,0.725291
25,0.896283,,,0.724111
26,0.869636,,,0.725601
27,0.890119,,,0.725572
28,0.867890,,,0.725688
29,0.888667,,,0.725016
30,0.863021,,,0.725680
