epoch,train_loss,train_base_loss,train_ranking_loss,train_prototype_loss,train_normal_align_loss,train_normal_bucket_adv_loss,train_aux_loss,train_context_regularization_loss,train_adapter_regularization_loss,train_pseudo_contrastive_loss,train_embedding_diffusion_loss,train_embedding_diffusion_score_loss,train_embedding_diffusion_view_loss,prototype_loss_weight_effective,prototype_trust_score,context_residual_budget_weight_effective,context_residual_budget_release_progress,context_residual_budget_prototype_readiness,context_residual_budget_guard_strength,val_auc,val_pr_auc,val_ap,train_targets,train_pos,train_neg,train_hard_neg,train_bg_neg,train_pos_rate,hard_negative_pool_size,hard_negative_candidate_count,avg_subgraph_nodes,avg_subgraph_edges,emb_norm,dirichlet,grad_norm,best_epoch,lr,loss_pos_weight,context_delta_norm,context_drift_abs_mean,context_emb_norm,context_gate_mean,context_logit_abs_mean,context_residual_clip_fraction,context_residual_penalty,context_stability_gate_mean,diffusion_reconstruction_score,diffusion_score_calibration_mean,diffusion_score_calibration_std,diffusion_score_fraud_mean,diffusion_score_loss,diffusion_score_mean,diffusion_score_normal_mean,diffusion_score_std,diffusion_selected_count,diffusion_sigma_mean,internal_risk_delta_norm,internal_risk_direction_gap_norm,internal_risk_gate_mean,internal_risk_hop_gap_norm,internal_risk_short_long_gap_norm,message_risk_scale_mean,message_risk_score_mean,prototype_active_epoch,prototype_classification_loss,prototype_classification_ratio,prototype_consistency_loss,prototype_loss_ramp,prototype_margin,prototype_memory_initialized_ratio,prototype_separation_loss,prototype_target_available_ratio,prototype_temporal_stability,target_time_position_mean,time_emb_norm,time_expert_context_drift,time_expert_delta_norm,time_expert_entropy,time_expert_entropy_gate,time_expert_entropy_norm,time_expert_entropy_penalty,time_expert_max_weight,time_expert_time_emb_norm
1,0.872185438382821,0.8695535229854896,0.0,0.0,0.0,0.0,0.0,1.2538011567991562e-05,6.355591963778142e-05,0.0,1.9639960761930122,0.6634934222111937,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.7254979579262945,0.027350152842020685,0.02750648920740291,29652,7413,22239,0,0,0.25,0,0,841.2131147540983,646.1639344262295,20.563011513381706,955.8840181944801,0.8141700820844682,1,0.0003,3.0,0.7211739733570912,0.303880543005271,0.9279789699882758,0.585257026015735,0.010280852026657248,0.0,1.2538011567991562e-05,0.5022960769348457,4.5223687320459085,5.412631439419247,0.25786642209910904,5.518197176886386,0.6634934222111937,5.3370079603351535,5.27661181277916,0.3182464467789062,364.57377049180326,0.6171538707662801,0.07270703989951337,5.209897952001603,0.5018144332971729,5.221062804831833,0.34184002169678906,0.9984084690203432,0.48938971757888794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12568306287781136,1.0333560431589845,0.30165866115054146,0.051080057157020346,1.376056661371325,0.9926150441169739,0.9926150441169739,6.355591963778142e-05,0.29074913361033455,1.284245524250093
2,0.9512263897989617,0.9422606825828552,0.0,0.09685446254786897,0.05645628933046685,0.0,0.0,2.2116392950115145e-05,9.071285019105789e-05,0.0,1.4990091949212747,0.7629540044753278,0.0,0.04,1.0,0.1,0.0,0.0,1.0,0.7359380102865334,0.030247623278730006,0.030217096902706814,29652,7413,22239,11120,0,0.25,44478,88956,817.9016393442623,589.5737704918033,19.926314557184938,936.6969944688141,0.6070011287439064,2,0.0003,3.0,0.6533654889122384,0.26749767069933844,0.7997525451613254,0.6866244165623774,0.024343824746911644,3.201844262295082e-05,2.2116392950115145e-05,0.5028284758817955,3.8174673807425576,4.103066163412419,0.6567379941348404,4.060446348346647,0.7629540044753278,3.9678288795908943,3.936956573705204,0.6842932798823372,364.57377049180326,0.6203946725266879,0.08396346598375039,4.8603150844573975,0.5040861436578093,4.872218397797131,0.273319894677175,0.9981979493234978,0.4879861351896505,1.0,0.37325363594000455,0.9836065573770492,0.2133168933577225,0.25,0.05652716404712591,1.0,0.06996742919942395,0.9836065573770492,0.91265343154063,0.12568306287781136,1.065655468917284,0.2682497884894981,0.05917307306997112,1.3677123276913752,0.9865958905610882,0.9865958905610882,9.071285019105789e-05,0.3109171688556671,1.1289760196795229
3,0.9438832509713094,0.9372211909684979,0.0,0.189849068395427,0.02488196384711344,0.0,0.0,6.28992678028852e-05,1.911535958347262e-05,0.0,1.4521023386814556,0.7504704506670843,0.0,0.016898398493644846,0.42245996234112115,0.1,0.0,0.0,1.0,0.733090291158931,0.028707260185871372,0.02886344255228796,29652,7413,22239,11120,0,0.25,44478,88956,822.2622950819672,593.5573770491803,20.73333990378458,987.263683881916,0.6091020761943254,2,0.0003,3.0,0.7583458648353326,0.28404526290346366,0.9377906351793007,0.6989465013879245,0.03034112385672624,0.0004615072069353745,6.28992678028852e-05,0.49917986060752245,3.7807429149502614,4.063280886889912,0.6070115096661799,4.206550125215874,0.7504704506670843,4.080621453582263,4.03864529093758,0.5965328626945371,364.57377049180326,0.6171943271746401,0.0940965406108098,4.9088604059375704,0.5072445498138177,4.919673517102101,0.29472088641806726,0.9981549519007323,0.4876995174611201,1.0,0.3633701845270688,1.0,0.2647928155836512,0.5,0.05328817625881219,1.0,0.06176621076024947,1.0,0.9366210435257584,0.12568306287781136,1.2128042314873366,0.2855069979292447,0.09536889464151664,1.3749500317651717,0.9918167854918808,0.9918167854918808,1.911535958347262e-05,0.2978915039633141,1.1728568467937532
4,0.9410838093913969,0.933116084239522,0.0,0.2832729254589706,0.023281401298085196,0.0,0.0,6.637148669783453e-05,3.500431241681341e-05,0.0,1.1948861118222847,0.7417753192244984,0.0,0.017151667682598654,0.4287916920649663,0.1,0.0,0.0,1.0,0.7271664689704663,0.02806073028033153,0.02825277096165754,29652,7413,22239,11120,0,0.25,44478,88956,824.2459016393443,603.0,19.68239812381932,867.0790505331071,0.5495238211311277,2,0.0003,3.0,0.5909176913441204,0.27790038580777215,0.9030468336871413,0.6396902056991077,0.026328768459011297,0.00035220286885245903,6.637148669783453e-05,0.49147087579867876,3.2924928665161133,3.4238511755500753,0.7090952104876912,3.4926652322050002,0.7417753192244984,3.3121407657373148,3.2519660582307908,0.7258115498746027,364.57377049180326,0.6172589723204003,0.11529630422592163,4.9594520975331795,0.5141459869556739,4.972198513687634,0.31276317495975803,0.9981897815329129,0.48793174155422897,1.0,0.363240300631914,1.0,0.22604747653984633,0.75,0.05875974166832986,1.0,0.0630911467138861,1.0,0.9532818970133047,0.12568306287781136,0.9464380770433144,0.2815529137361245,0.10929110426394666,1.3712538461216162,0.9891505524760387,0.9891505524760387,3.500431241681341e-05,0.30425200354857523,0.735766309206603
5,0.9356559710424455,0.9256560372524574,0.0,0.37311145980827143,0.01910318018960171,0.0,0.0,0.00010626015989787373,0.00010925727575773098,0.0,1.3636095269781645,0.7374104710875965,0.0,0.018567302285018083,0.4641825571254521,0.1,0.0,0.0,1.0,0.7285424716277608,0.02842903708520985,0.028579467155069885,29652,7413,22239,11120,0,0.25,44478,88956,823.2131147540983,599.672131147541,21.135700694850232,1057.1578559250129,0.5634376558124042,2,0.0003,3.0,0.6810862431760694,0.2983956122007526,1.0341460401894615,0.6472716360795693,0.02573238029221042,0.0007176547479189811,0.00010626015989787373,0.4888026333246075,3.649687118217593,3.8036558107569958,0.5890386252785407,4.0412943206849645,0.7374104710875965,3.8835282169404577,3.83093960949632,0.5776020117470475,364.57377049180326,0.6276949228810482,0.1225094627894339,4.972539229471176,0.5237233990528545,4.983429173954198,0.29448265385562095,0.9981852027236439,0.4879012327702319,1.0,0.35760066841469434,1.0,0.24947683488736389,1.0,0.05369109425266258,1.0,0.0607390390617437,1.0,0.9671678494234555,0.12568306287781136,1.031675901569304,0.3026814592666313,0.14007341434232523,1.3712918015777087,0.9891779276191212,0.9891779276191212,0.00010925727575773098,0.3061404555547433,0.8039450528191738
6,0.9297432850618832,0.9200298229201895,0.0,0.3748468932558279,0.017483971158012014,0.0,0.0,0.0001122216311413184,3.5261003847795035e-05,0.0,1.122959554195404,0.7290814763209859,0.0,0.018605549581585036,0.46513873953962587,0.1,0.0,0.0,1.0,0.7308026260759874,0.028675479936638156,0.028852296533385294,29652,7413,22239,11120,0,0.25,44478,88956,835.2950819672132,616.2295081967213,20.655756184312164,919.6338120757556,0.5586900960226528,2,0.00015,3.0,0.6065751157823156,0.30245468606714343,0.9476406476536735,0.6753102882963712,0.03256120740390215,0.0007176547479189811,0.0001122216311413184,0.48846379801875256,3.1738236497660153,3.256388651226555,0.6776485695792525,3.3741498501574405,0.7290814763209859,3.1647730342677383,3.094980857411369,0.6912074216076585,364.57377049180326,0.6080044957457996,0.14602965177571187,4.965507464330704,0.5504659384977623,4.977270411663368,0.31777339433941304,0.9982503838226443,0.48833573059957536,1.0,0.3614441337155514,1.0,0.20640655839052358,1.0,0.06315326574640195,1.0,0.06164862374301817,1.0,0.9781927104856147,0.12568306287781136,0.9883247359854276,0.3070199685018571,0.15287828347722038,1.3657150796202362,0.9851551720353423,0.9851551720353423,3.5261003847795035e-05,0.31566481707526034,0.6696310033563708
7,0.9248767104305204,0.9149133260132837,0.0,0.3757284908998208,0.014774392862788966,0.0,0.0,0.00012044823511058014,8.259117402914973e-05,0.0,1.304069601121496,0.7231004072017357,0.0,0.01911306569595444,0.47782664239886097,0.1,0.0,0.0,1.0,0.7247759432251902,0.027781851054657965,0.027968743081648515,29652,7413,22239,11120,0,0.25,44478,88956,833.9180327868852,618.5245901639345,21.332349652149638,1022.9396222224001,0.5829817721101104,2,0.00015,3.0,0.7154795957393334,0.3123430189539175,1.0385116876148788,0.6583216600730771,0.034205818029700734,0.0005443135245901639,0.00012044823511058014,0.4860568828270084,3.5259727298236285,3.7252892092158905,0.5931542748671411,3.982839095787924,0.7231004072017357,3.791794870720535,3.7281135418375984,0.5811659810972996,364.57377049180326,0.6278277420606769,0.15672048572145525,4.993521186171985,0.5689836115133567,5.00443965098897,0.33335253555596267,0.9982323128668988,0.488215335079881,1.0,0.360453549955712,1.0,0.2443868373749686,1.0,0.06105247839186035,1.0,0.061111989873843114,1.0,0.9781168103218079,0.12568306287781136,1.144371409885219,0.31609379707789814,0.15310798072424092,1.3662064622660153,0.9855096271780671,0.9855096271780671,8.259117402914973e-05,0.3180120206270062,0.7776083662861684
8,0.9211268151392702,0.9115985680799015,0.0,0.3684775653432627,0.01325134566572846,0.0,0.0,0.00011201263444744372,6.775866805568155e-05,0.0,1.0922446661308163,0.7144785435473333,0.0,0.01911748339277944,0.47793708481948594,0.1,0.0,0.0,1.0,0.7248644582967136,0.027518188054791164,0.027707804691188446,29652,7413,22239,11120,0,0.25,44478,88956,821.2950819672132,593.5245901639345,20.509208022571002,880.6959818855661,0.5608636380219069,2,0.00015,3.0,0.6169335412197425,0.3063111520204388,0.8964702399050604,0.6895168023031266,0.03818531084011813,0.0005895809774271777,0.00011201263444744372,0.488340469168835,3.0983150787040836,3.218587746070131,0.6988118503619156,3.3940983209453646,0.7144785435473333,3.1366555339000266,3.050841300213923,0.7133673820339266,364.57377049180326,0.6181832351645485,0.1893680387588798,4.848975107318065,0.6058292095778418,4.859540259251829,0.29550625557468996,0.9980896838375779,0.4872644998011042,1.0,0.3552479983353224,1.0,0.204716189474356,1.0,0.0613847478124939,1.0,0.05987514793628552,1.0,0.9763723621602918,0.12568306287781136,1.0405110228257102,0.3102257447164567,0.15809603621725177,1.3711763464036535,0.9890946491819913,0.9890946491819913,6.775866805568155e-05,0.30772300479842013,0.6192255049455361
9,0.919734281594636,0.9099271971671308,0.0,0.3745595636914988,0.01069006079533061,0.0,0.0,0.00014298845893581977,4.841702302954099e-05,0.0,1.2693797330387304,0.7116048560767877,0.0,0.01942248476396638,0.4855621190991595,0.1,0.09453914222493481,0.9453914222493481,1.0,0.7287081905747264,0.028207144949898764,0.028356889105950453,29652,7413,22239,11120,0,0.25,44478,88956,820.6065573770492,592.1967213114754,21.547372223900968,1016.9082361440189,0.6098418616857685,2,0.00015,3.0,0.7416779975422093,0.32341529941949687,1.0257105358311387,0.7102314096982362,0.040974150671333566,0.0006083504098360656,0.00014298845893581977,0.4887982626430324,3.484264256524258,3.6671899817289537,0.6027976948168589,3.969440522741099,0.7116048560767877,3.748056939390839,3.674262519742622,0.5887709132960586,364.57377049180326,0.6150884970289762,0.2173953842921335,4.888431044875598,0.6555561354902925,4.897577000446007,0.28315176568700184,0.998291265769083,0.48860840914679354,1.0,0.3596236568982484,1.0,0.23802371005542944,1.0,0.05989436145688667,1.0,0.06069443692437938,1.0,0.9803613590412452,0.12568306287781136,1.1759093863065126,0.32630464630048783,0.18171908645356288,1.37104995524297,0.9890034667781142,0.9890034667781142,4.841702302954099e-05,0.30819288335862705,0.8029680945834176
10,0.9113102193738594,0.9017343824027014,0.0,0.3699751452344363,0.01317348831989726,0.0,0.0,0.00010089205910039485,0.00012856340283894392,0.0,1.0779901879732725,0.7025457522908195,0.0,0.019248437825234357,0.48121094563085887,0.08679850829367307,0.18859273866181342,0.942963693309067,0.11620165963397655,0.7306444366831053,0.02813691778397669,0.028276887820032695,29652,7413,22239,11120,0,0.25,44478,88956,822.5409836065573,595.8688524590164,20.67094283807473,911.5100247742699,0.6170941962570441,2,7.5e-05,3.0,0.6203018075130025,0.318764009436623,0.9024289631452717,0.6833612313036059,0.038718008848487355,0.0005509380296971954,0.00010089205910039485,0.48749450630828983,3.0767613981590896,3.2436016393223297,0.7383493158057164,3.471359890015399,0.7025457522908195,3.161854736140517,3.0586864166572445,0.754441641393255,364.57377049180326,0.6151661804464997,0.24540200902790318,4.904794821973707,0.6954566826585864,4.9146020177934995,0.2800719794191298,0.9981259615694891,0.48750622790367876,1.0,0.3566319439254823,1.0,0.20612486073228178,1.0,0.06297296190970257,1.0,0.06073919695908906,1.0,0.9808806132097714,0.12568306287781136,1.0373349170215795,0.32001206278800964,0.1955377144403145,1.3702233932057366,0.9884072376079247,0.9884072376079247,0.00012856340283894392,0.30720649097786573,0.6481897987303187
