epoch,train_loss,train_auc,val_loss,val_auc
1,0.530400,,,0.556033
2,0.593808,,,0.535559
3,0.490643,,,0.509116
4,0.537351,,,0.609764
5,0.519316,,,0.586795
6,0.520518,,,0.578391
7,0.498676,,,0.533187
8,0.491327,,,0.462852
9,0.489278,,,0.547431
10,0.471911,,,0.494781
11,0.473106,,,0.560178
12,0.464142,,,0.481619
13,0.462749,,,0.552569
14,0.451290,,,0.471470
15,0.458806,,,0.531765
16,0.437887,,,0.475899
17,0.453823,,,0.526074
18,0.425138,,,0.469609
19,0.443468,,,0.510825
20,0.423970,,,0.454519
21,0.446293,,,0.512115
22,0.417220,,,0.461589
23,0.440855,,,0.512159
24,0.408806,,,0.457508
25,0.440902,,,0.495176
26,0.405313,,,0.451399
27,0.433725,,,0.493002
28,0.405899,,,0.447339
29,0.438948,,,0.492541
30,0.401224,,,0.444512
