epoch,train_loss,val_loss,train_auc,val_auc,best_epoch
1,1.467648,,,0.767247,1
2,0.847832,,,0.768003,2
3,0.661282,,,0.772983,3
4,0.374688,,,0.768415,3
5,0.572328,,,0.776983,5
6,0.305829,,,0.776135,5
7,0.401148,,,0.779706,7
8,0.271463,,,0.778408,7
9,0.300461,,,0.778999,7
10,0.230138,,,0.778989,7
11,0.246361,,,0.779352,7
12,0.159560,,,0.780903,12
13,0.152666,,,0.780589,12
14,0.117725,,,0.779965,12
15,0.139276,,,0.781299,15
16,0.099380,,,0.780624,15
17,0.135148,,,0.780801,15
18,0.089254,,,0.780682,15
19,0.122033,,,0.781375,19
20,0.072365,,,0.780810,19
21,0.137677,,,0.781544,21
22,0.060922,,,0.780862,21
23,0.119382,,,0.781797,23
24,0.068023,,,0.781464,23
25,0.090231,,,0.781299,23
26,0.055542,,,0.781571,23
27,0.091983,,,0.781840,27
28,0.063447,,,0.780683,27
29,0.077903,,,0.781504,27
30,0.037846,,,0.781222,27
31,0.080218,,,0.781813,27
32,0.039324,,,0.781037,27
33,0.059889,,,0.780995,27
