epoch,train_loss,val_loss,train_auc,val_auc,best_epoch
1,0.717029,,,0.771432,1
2,0.526531,,,0.776944,2
3,0.332021,,,0.779248,3
4,0.273511,,,0.780867,4
5,0.180373,,,0.781150,5
6,0.139573,,,0.781852,6
7,0.113495,,,0.781805,6
8,0.085921,,,0.782974,8
9,0.092762,,,0.782754,8
10,0.066226,,,0.782837,8
11,0.080783,,,0.783212,11
12,0.066372,,,0.782899,11
13,0.056811,,,0.782666,11
14,0.050233,,,0.782120,11
15,0.055867,,,0.782043,11
16,0.027285,,,0.782729,11
17,0.025339,,,0.782900,11
18,0.021006,,,0.782753,11
19,0.022063,,,0.783096,11
20,0.011259,,,0.782582,11
21,0.012320,,,0.782927,11
22,0.007954,,,0.782979,11
23,0.014692,,,0.782661,11
24,0.007277,,,0.782693,11
25,0.010070,,,0.782690,11
26,0.009212,,,0.782609,11
27,0.010455,,,0.782592,11
28,0.006991,,,0.782422,11
29,0.008830,,,0.782759,11
30,0.007297,,,0.782613,11
