epoch,train_loss,val_loss,train_auc,val_auc,best_epoch
1,0.798406,,,0.775399,1
2,0.856087,,,0.780243,2
3,0.840083,,,0.782764,3
4,0.819385,,,0.779275,3
5,0.817364,,,0.782878,5
6,0.801836,,,0.780718,5
7,0.800752,,,0.783607,7
8,0.782667,,,0.777650,7
9,0.787489,,,0.776431,7
10,0.769244,,,0.780440,7
11,0.770000,,,0.780288,7
12,0.737789,,,0.778823,7
13,0.746506,,,0.774768,7
14,0.714785,,,0.771937,7
15,0.734527,,,0.773452,7
16,0.683190,,,0.771516,7
17,0.722937,,,0.772224,7
18,0.676326,,,0.770040,7
19,0.704639,,,0.771256,7
20,0.665499,,,0.768597,7
21,0.708234,,,0.770115,7
22,0.658541,,,0.768179,7
23,0.699060,,,0.769942,7
24,0.648738,,,0.767837,7
25,0.700544,,,0.768848,7
26,0.644882,,,0.766627,7
27,0.693676,,,0.767363,7
28,0.642776,,,0.765307,7
29,0.695537,,,0.766529,7
30,0.640772,,,0.764975,7
