epoch,train_loss,val_loss,train_auc,val_auc,best_epoch
1,1.277915,,,0.677095,1
2,0.977597,,,0.747967,2
3,0.514551,,,0.818442,3
4,0.347622,,,0.771185,3
5,0.391074,,,0.412768,3
6,0.326757,,,0.410878,3
7,0.310382,,,0.412399,3
8,0.211358,,,0.413020,3
9,0.390085,,,0.413193,3
10,0.197699,,,0.413691,3
11,0.222428,,,0.414156,3
12,0.137473,,,0.414024,3
13,0.250300,,,0.413695,3
14,0.135541,,,0.414012,3
15,0.158308,,,0.413952,3
16,0.107703,,,0.414131,3
17,0.167552,,,0.414194,3
18,0.126509,,,0.414028,3
19,0.207123,,,0.413844,3
20,0.124388,,,0.414260,3
21,0.140401,,,0.414107,3
22,0.109144,,,0.414366,3
23,0.139463,,,0.414154,3
24,0.103154,,,0.414350,3
25,0.129704,,,0.414281,3
26,0.092632,,,0.414464,3
27,0.134312,,,0.414344,3
28,0.090924,,,0.414391,3
29,0.134530,,,0.414383,3
30,0.090323,,,0.414469,3
