epoch,train_loss,val_loss,train_auc,val_auc,best_epoch
1,0.650466,,,0.773580,1
2,0.474674,,,0.777651,2
3,0.436116,,,0.779054,3
4,0.380844,,,0.780202,4
5,0.180357,,,0.780990,5
6,0.143741,,,0.781618,6
7,0.106050,,,0.782434,7
8,0.082192,,,0.782071,7
9,0.083110,,,0.782189,7
10,0.073567,,,0.783108,10
11,0.075846,,,0.782421,10
12,0.056761,,,0.782790,10
13,0.068685,,,0.782524,10
14,0.037722,,,0.782871,10
15,0.039730,,,0.782834,10
16,0.023066,,,0.782249,10
17,0.026800,,,0.782390,10
18,0.016697,,,0.782264,10
19,0.018736,,,0.782985,10
20,0.015343,,,0.782673,10
21,0.015144,,,0.782243,10
22,0.010253,,,0.782033,10
23,0.016566,,,0.782555,10
24,0.007911,,,0.782613,10
25,0.011102,,,0.782533,10
26,0.007934,,,0.782799,10
27,0.014309,,,0.782698,10
28,0.006968,,,0.782592,10
29,0.012149,,,0.782749,10
30,0.007370,,,0.782801,10
