epoch,train_loss,val_loss,train_auc,val_auc,best_epoch
1,0.798045,0.536419,0.833834,0.772789,1
2,0.853847,0.484632,0.845965,0.779725,2
3,0.842604,0.467414,0.853003,0.784494,3
4,0.817821,0.483886,0.860940,0.781675,3
5,0.826439,0.533725,0.862577,0.781037,3
6,0.805257,0.519903,0.868491,0.784600,6
7,0.803494,0.519234,0.870510,0.784875,7
8,0.788743,0.493616,0.874847,0.782610,7
9,0.791304,0.552309,0.876182,0.779963,7
10,0.768462,0.509823,0.880957,0.774990,7
11,0.773623,0.552870,0.882937,0.781344,7
12,0.736922,0.491529,0.889740,0.775987,7
