epoch,train_loss,train_auc,val_loss,val_auc
1,0.814292,,,0.780158
2,0.865721,,,0.781105
3,0.854565,,,0.787469
4,0.831230,,,0.788166
5,0.831798,,,0.786518
6,0.820674,,,0.787109
7,0.826066,,,0.787571
8,0.813275,,,0.784461
9,0.815274,,,0.788202
10,0.793919,,,0.787146
11,0.809742,,,0.788639
12,0.791463,,,0.786469
13,0.803929,,,0.784882
14,0.782963,,,0.787311
15,0.793266,,,0.786700
16,0.774001,,,0.786978
17,0.793546,,,0.785346
18,0.770425,,,0.785437
19,0.789107,,,0.786909
20,0.761292,,,0.785776
21,0.786332,,,0.785478
