epoch,train_loss,train_auc,val_loss,val_auc
1,0.690574,,,0.773415
2,0.374896,,,0.777657
3,0.381816,,,0.779260
4,0.215322,,,0.781504
5,0.169858,,,0.780593
6,0.190477,,,0.781458
7,0.147218,,,0.782607
8,0.116763,,,0.782707
9,0.160016,,,0.781955
10,0.103187,,,0.782166
11,0.092801,,,0.782159
12,0.067591,,,0.782819
13,0.056427,,,0.782568
14,0.055478,,,0.782196
15,0.054803,,,0.783019
16,0.042875,,,0.781745
17,0.049749,,,0.783287
18,0.024870,,,0.783624
19,0.028359,,,0.781830
20,0.024212,,,0.781885
21,0.033197,,,0.782775
22,0.017779,,,0.782064
23,0.014207,,,0.782911
24,0.006220,,,0.781680
25,0.011313,,,0.782191
26,0.005642,,,0.782935
27,0.016213,,,0.782822
28,0.005629,,,0.782495
