epoch,train_loss,train_auc,val_loss,val_auc
1,0.690574,,,0.773415
2,0.374523,,,0.777655
3,0.345798,,,0.779223
4,0.371630,,,0.779994
5,0.179870,,,0.781802
6,0.158849,,,0.781903
7,0.223432,,,0.782448
8,0.128714,,,0.782576
9,0.101725,,,0.782601
10,0.075105,,,0.782343
11,0.104872,,,0.782263
12,0.053832,,,0.783021
13,0.063052,,,0.781902
14,0.045267,,,0.782285
15,0.045451,,,0.782217
16,0.033599,,,0.781928
17,0.040090,,,0.782734
18,0.018023,,,0.783399
19,0.052370,,,0.783140
20,0.019564,,,0.782422
21,0.034230,,,0.782382
22,0.014905,,,0.782505
23,0.018308,,,0.783064
24,0.010029,,,0.782441
25,0.015052,,,0.782434
26,0.005534,,,0.782440
27,0.012074,,,0.782522
28,0.007291,,,0.782387
