epoch,train_loss,val_loss,train_auc,val_auc,best_epoch
1,1.359938,,,0.743283,1
2,0.815481,,,0.786155,2
3,0.458238,,,0.608801,2
4,0.597387,,,0.493589,2
5,0.504207,,,0.762045,2
6,0.405700,,,0.777756,2
7,0.447967,,,0.777544,2
8,0.217070,,,0.593817,2
9,0.235022,,,0.536611,2
10,0.167294,,,0.450260,2
11,0.228412,,,0.434565,2
12,0.197443,,,0.509549,2
13,0.243506,,,0.456537,2
14,0.158915,,,0.434789,2
15,0.204709,,,0.424700,2
16,0.146529,,,0.508572,2
17,0.188557,,,0.430372,2
18,0.143721,,,0.494407,2
19,0.178878,,,0.424494,2
20,0.117096,,,0.493938,2
21,0.157677,,,0.424177,2
22,0.114921,,,0.469999,2
23,0.154583,,,0.425821,2
24,0.108207,,,0.448571,2
25,0.150614,,,0.424264,2
26,0.105334,,,0.437094,2
27,0.147324,,,0.422837,2
28,0.103201,,,0.442602,2
29,0.142638,,,0.423714,2
30,0.098379,,,0.434470,2
