epoch,train_loss,val_loss,train_auc,val_auc,best_epoch
1,0.667636,,,0.770899,1
2,0.413152,,,0.776796,2
3,0.457031,,,0.777941,3
4,0.469984,,,0.781693,4
5,0.203705,,,0.781362,4
6,0.183500,,,0.831954,6
7,0.148163,,,0.781084,6
8,0.106101,,,0.677259,6
9,0.094609,,,0.558432,6
10,0.104967,,,0.677930,6
11,0.106056,,,0.690503,6
12,0.052739,,,0.664432,6
13,0.048563,,,0.608195,6
14,0.029601,,,0.612395,6
15,0.034980,,,0.579622,6
16,0.022740,,,0.597727,6
17,0.029062,,,0.582263,6
18,0.019912,,,0.600156,6
19,0.026287,,,0.580356,6
20,0.015443,,,0.600307,6
21,0.022345,,,0.583801,6
22,0.011042,,,0.598222,6
23,0.018328,,,0.572780,6
24,0.013812,,,0.594951,6
25,0.022876,,,0.567049,6
26,0.011182,,,0.595802,6
27,0.018662,,,0.571477,6
28,0.019766,,,0.589417,6
29,0.019543,,,0.566944,6
30,0.010364,,,0.580689,6
