epoch,train_loss,val_loss,train_auc,val_auc,best_epoch
1,0.792399,,,0.771505,1
2,0.849581,,,0.781603,2
3,0.842993,,,0.785365,3
4,0.821244,,,0.781213,3
5,0.824309,,,0.778255,3
6,0.806669,,,0.780852,3
7,0.808853,,,0.783065,3
8,0.787757,,,0.780966,3
9,0.786181,,,0.778357,3
10,0.763904,,,0.774889,3
11,0.772484,,,0.776559,3
12,0.731348,,,0.774474,3
13,0.752993,,,0.774186,3
14,0.711514,,,0.771848,3
15,0.747313,,,0.769658,3
16,0.703821,,,0.768650,3
17,0.738988,,,0.769385,3
18,0.691267,,,0.768540,3
19,0.732292,,,0.767702,3
20,0.684561,,,0.767501,3
21,0.728702,,,0.767888,3
22,0.673982,,,0.766476,3
23,0.722188,,,0.768445,3
24,0.671844,,,0.765332,3
25,0.720704,,,0.766843,3
26,0.667204,,,0.765307,3
27,0.722263,,,0.766696,3
28,0.664278,,,0.764938,3
29,0.726139,,,0.765646,3
30,0.663797,,,0.764468,3
