epoch,train_loss,val_loss,train_auc,val_auc,best_epoch
1,1.309057,,,0.732870,1
2,0.805430,,,0.776280,2
3,0.512408,,,0.820023,3
4,0.370562,,,0.741521,3
5,0.372402,,,0.511806,3
6,0.278348,,,0.647591,3
7,0.405060,,,0.413776,3
8,0.369299,,,0.748915,3
9,0.315855,,,0.814480,3
10,0.201235,,,0.436051,3
11,0.222328,,,0.414595,3
12,0.141597,,,0.447015,3
13,0.168905,,,0.434260,3
14,0.123653,,,0.465369,3
15,0.173933,,,0.453545,3
16,0.110401,,,0.513316,3
17,0.155434,,,0.424991,3
18,0.134330,,,0.553938,3
19,0.174289,,,0.422754,3
20,0.127489,,,0.492804,3
21,0.131844,,,0.424086,3
22,0.099299,,,0.463122,3
23,0.123595,,,0.423240,3
24,0.104516,,,0.433365,3
25,0.128196,,,0.423902,3
26,0.088067,,,0.432421,3
27,0.133555,,,0.423741,3
28,0.089092,,,0.433274,3
29,0.125134,,,0.421411,3
30,0.088929,,,0.430037,3
