epoch,train_loss,val_loss,train_auc,val_auc,best_epoch
1,0.668795,,,0.771698,1
2,0.559997,,,0.777812,2
3,0.317844,,,0.777130,2
4,0.222514,,,0.780938,4
5,0.170685,,,0.780881,4
6,0.202334,,,0.781089,6
7,0.141491,,,0.781441,7
8,0.093300,,,0.778156,7
9,0.088684,,,0.682457,7
10,0.059603,,,0.647954,7
11,0.080810,,,0.769946,7
12,0.048202,,,0.718549,7
13,0.049173,,,0.654962,7
14,0.027028,,,0.627474,7
15,0.036578,,,0.604961,7
16,0.020714,,,0.631589,7
17,0.029810,,,0.652258,7
18,0.014288,,,0.645749,7
19,0.018723,,,0.615385,7
20,0.010642,,,0.646088,7
21,0.018591,,,0.608845,7
22,0.010601,,,0.624913,7
23,0.015083,,,0.600080,7
24,0.008819,,,0.624742,7
25,0.013836,,,0.607056,7
26,0.014521,,,0.626503,7
27,0.012924,,,0.610454,7
28,0.008007,,,0.618597,7
29,0.012204,,,0.610119,7
30,0.005099,,,0.616665,7
