epoch,train_loss,val_loss,train_auc,val_auc,best_epoch
1,0.794270,,,0.773662,1
2,0.852817,,,0.779188,2
3,0.837844,,,0.783835,3
4,0.818273,,,0.782262,3
5,0.816782,,,0.782320,3
6,0.798189,,,0.779509,3
7,0.799654,,,0.779857,3
8,0.778163,,,0.779992,3
9,0.777019,,,0.777698,3
10,0.747277,,,0.774403,3
11,0.765518,,,0.773982,3
12,0.719832,,,0.768853,3
13,0.741287,,,0.768986,3
14,0.698509,,,0.765795,3
15,0.730459,,,0.761509,3
16,0.675169,,,0.758314,3
17,0.715946,,,0.760971,3
18,0.660348,,,0.755008,3
19,0.707074,,,0.759264,3
20,0.650346,,,0.757407,3
21,0.701485,,,0.757186,3
22,0.639857,,,0.754935,3
23,0.698776,,,0.756861,3
24,0.631780,,,0.755074,3
25,0.694022,,,0.755045,3
26,0.623302,,,0.753861,3
27,0.699313,,,0.754261,3
28,0.619617,,,0.752455,3
29,0.693922,,,0.752583,3
30,0.612721,,,0.751751,3
