epoch,train_loss,train_auc,val_loss,val_auc
1,0.650059,,,0.770855
2,0.438972,,,0.776657
3,0.448878,,,0.778046
4,0.324520,,,0.777980
5,0.169862,,,0.723042
6,0.154649,,,0.781513
7,0.134391,,,0.619179
8,0.094026,,,0.701785
9,0.082547,,,0.693503
10,0.096433,,,0.617016
11,0.066620,,,0.716607
12,0.047212,,,0.783125
13,0.069570,,,0.789550
14,0.033180,,,0.684333
15,0.041591,,,0.681048
16,0.024957,,,0.699262
17,0.049787,,,0.697665
18,0.018683,,,0.681719
19,0.021518,,,0.684610
20,0.013163,,,0.668154
21,0.019993,,,0.687482
22,0.010143,,,0.689812
23,0.015566,,,0.679916
