epoch,train_loss,val_loss,train_auc,val_auc,best_epoch
1,1.277915,,,0.677096,1
2,0.977598,,,0.747964,2
3,0.515275,,,0.818353,3
4,0.349185,,,0.763786,3
5,0.408583,,,0.449875,3
6,0.386546,,,0.515601,3
7,0.290690,,,0.546449,3
8,0.250445,,,0.586337,3
9,0.278072,,,0.543965,3
10,0.185223,,,0.543176,3
11,0.227119,,,0.492535,3
12,0.186588,,,0.549962,3
13,0.204087,,,0.469195,3
14,0.143971,,,0.490004,3
15,0.257499,,,0.490105,3
16,0.138851,,,0.511615,3
17,0.175484,,,0.422359,3
18,0.123371,,,0.510237,3
19,0.169968,,,0.433284,3
20,0.126144,,,0.521289,3
21,0.151027,,,0.432557,3
22,0.114579,,,0.501641,3
23,0.139817,,,0.432755,3
24,0.105700,,,0.473589,3
25,0.143958,,,0.428827,3
26,0.102229,,,0.450244,3
27,0.141092,,,0.430910,3
28,0.099443,,,0.440969,3
29,0.144276,,,0.425549,3
30,0.093060,,,0.435938,3
