epoch,train_loss,val_loss,train_auc,val_auc,best_epoch
1,0.700737,,,0.773547,1
2,0.495280,,,0.777882,2
3,0.342146,,,0.778955,3
4,0.234318,,,0.781570,4
5,0.198009,,,0.780137,4
6,0.124404,,,0.780873,4
7,0.129043,,,0.781816,7
8,0.110581,,,0.782044,8
9,0.099204,,,0.782512,9
10,0.081104,,,0.782107,9
11,0.070442,,,0.781665,9
12,0.054640,,,0.782745,12
13,0.066004,,,0.781878,12
14,0.042502,,,0.782893,14
15,0.053555,,,0.782189,14
16,0.045047,,,0.782212,14
17,0.055504,,,0.782964,17
18,0.034176,,,0.781657,17
19,0.033506,,,0.781818,17
20,0.019862,,,0.780207,17
21,0.025499,,,0.782124,17
22,0.011330,,,0.781825,17
23,0.014584,,,0.782350,17
24,0.010864,,,0.781807,17
25,0.013454,,,0.782457,17
26,0.009255,,,0.782659,17
27,0.011511,,,0.782006,17
28,0.005525,,,0.782237,17
29,0.006878,,,0.782126,17
30,0.005098,,,0.782147,17
