epoch,train_loss,val_loss,train_auc,val_auc,best_epoch
1,0.792476,,,0.774062,1
2,0.853904,,,0.778720,2
3,0.840710,,,0.782926,3
4,0.820938,,,0.781711,3
5,0.819986,,,0.781433,3
6,0.804220,,,0.779993,3
7,0.807401,,,0.776877,3
8,0.781188,,,0.778401,3
9,0.783127,,,0.775042,3
10,0.752149,,,0.772274,3
11,0.773093,,,0.771631,3
12,0.729965,,,0.769885,3
13,0.755898,,,0.771268,3
14,0.716822,,,0.768076,3
15,0.749916,,,0.768690,3
16,0.698255,,,0.766806,3
17,0.738168,,,0.768621,3
18,0.694624,,,0.766466,3
19,0.729613,,,0.767940,3
20,0.683539,,,0.766359,3
21,0.733645,,,0.767425,3
22,0.676115,,,0.765307,3
23,0.724213,,,0.766180,3
24,0.675445,,,0.764614,3
25,0.720957,,,0.766528,3
26,0.670170,,,0.764193,3
27,0.724703,,,0.766114,3
28,0.667115,,,0.763947,3
29,0.718886,,,0.765159,3
30,0.663533,,,0.763386,3
