node_id,source_id,target_id,timestamp,amount,feature_00,feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11
2281852,2281852,3617359,2025-05-01 08:00:00,6932.4,0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
3617359,3617359,265668,2025-05-02 09:07:00,4310.2,0.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
265668,265668,1505382,2025-05-03 10:14:00,11055.4,1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
1505382,1505382,3262229,2025-05-04 11:21:00,1999.1,0.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
3262229,3262229,3806502,2025-05-05 12:28:00,10334.9,0.0,6.0,0.04,0.04,1.0,0.1,0.013,0.001,0.013,1.0,1.0,-1.0
3806502,3806502,3161869,2025-05-06 13:35:00,8146.9,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
3161869,3161869,3929920,2025-05-07 14:42:00,11006.7,1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
3929920,3929920,2216975,2025-05-08 15:49:00,8797.3,0.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
2216975,2216975,3816131,2025-05-09 16:56:00,6902.7,0.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
3816131,3816131,2380882,2025-05-10 17:03:00,7781.8,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
2380882,2380882,3411504,2025-05-11 18:10:00,1362.4,0.0,7.0,0.345,0.31,0.898551,0.4,0.23,0.024,0.223,0.969565,1.0,0.101449
3411504,3411504,31698,2025-05-12 19:17:00,10665.7,0.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
31698,31698,2027609,2025-05-13 08:24:00,9385.4,0.0,3.0,2.155,1.935,0.897912,2.8,4.232,0.424,4.188,0.989603,4.0,0.102088
2027609,2027609,1041631,2025-05-14 09:31:00,2258.0,0.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
1041631,1041631,1096994,2025-05-15 10:38:00,2141.3,1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
1096994,1096994,1482830,2025-05-16 11:45:00,2986.3,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
1482830,1482830,3244232,2025-05-17 12:52:00,2581.4,0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
3244232,3244232,307728,2025-05-18 13:59:00,3770.7,0.0,5.0,0.01,0.01,1.0,-1.0,0.002,-1.0,0.002,1.0,0.0,-1.0
307728,307728,2800527,2025-05-19 14:06:00,10707.8,0.0,3.0,0.22,0.215,0.977273,0.5,0.649,0.029,0.648,0.998459,1.0,0.022727
2800527,2800527,2583521,2025-05-20 15:13:00,6066.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
2583521,2583521,3912129,2025-05-21 16:20:00,7145.7,1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
3912129,3912129,3041511,2025-05-22 17:27:00,2997.2,0.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
3041511,3041511,73205,2025-05-23 18:34:00,9712.5,0.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
73205,73205,3380133,2025-05-24 19:41:00,6982.2,0.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
3380133,3380133,3900562,2025-05-25 08:48:00,2617.7,0.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
3900562,3900562,1484853,2025-05-26 09:55:00,8206.9,1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
1484853,1484853,210985,2025-05-27 10:02:00,10085.5,0.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
210985,210985,2162851,2025-05-28 11:09:00,775.8,0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
2162851,2162851,2183768,2025-05-01 12:16:00,10681.9,0.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
