node_id,source_id,target_id,timestamp,amount,feature_00,feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11
3068088,3068088,814200,2025-05-01 08:00:00,12005.6,1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
814200,814200,2543561,2025-05-02 09:07:00,621.9,0.0,8.0,0.24,0.2,0.833333,0.1,0.417,0.035,0.409,0.980815,1.0,0.166667
2543561,2543561,63714,2025-05-03 10:14:00,3259.5,0.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
63714,63714,870613,2025-05-04 11:21:00,7827.5,0.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
870613,870613,143791,2025-05-05 12:28:00,5355.7,0.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
143791,143791,2236752,2025-05-06 13:35:00,4116.2,0.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
2236752,2236752,1930691,2025-05-07 14:42:00,8073.8,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
1930691,1930691,943715,2025-05-08 15:49:00,3650.0,0.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
943715,943715,3906876,2025-05-09 16:56:00,11840.7,0.0,4.0,0.48,0.45,0.9375,0.8,0.677,0.04,0.671,0.991137,2.0,0.0625
3906876,3906876,1235737,2025-05-10 17:03:00,7538.3,0.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
1235737,1235737,3259857,2025-05-11 18:10:00,325.9,0.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
3259857,3259857,884589,2025-05-12 19:17:00,1571.8,0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
884589,884589,2939329,2025-05-13 08:24:00,9082.1,1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
2939329,2939329,3206758,2025-05-14 09:31:00,3622.0,1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
3206758,3206758,31454,2025-05-15 10:38:00,9111.2,0.0,8.0,0.365,0.335,0.917808,0.4,0.708,0.041,0.699,0.987288,1.0,0.082192
31454,31454,2319680,2025-05-16 11:45:00,8488.3,1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
2319680,2319680,581570,2025-05-17 12:52:00,2926.4,0.0,7.0,0.1,0.08,0.8,-1.0,0.112,-1.0,0.107,0.955357,0.0,0.2
581570,581570,1672569,2025-05-18 13:59:00,3921.3,1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
1672569,1672569,1107888,2025-05-19 14:06:00,8619.5,0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
1107888,1107888,1796417,2025-05-20 15:13:00,7301.7,0.0,3.0,1.57,1.44,0.917197,1.2,1.304,0.071,1.267,0.971626,4.0,0.082803
1796417,1796417,2129111,2025-05-21 16:20:00,10860.9,1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
